VariableName,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName_cn,roleName_tw,roleName_en,roleName_kr,talkContent,talkContent_vn,talkContent_ma,talkContent_en,talkContent_th,talkContent_ph,talkContent_in,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2,choices
Defaults,,,,,,1,0,,0,0,,,FALSE,0,,,1,1,,,,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,,<>,,,0,,,FALSE,,,,,,<>
ID,_备注id,_注释（这里只是界面引导，战斗内引导另外配置）,所属阶段(-1:完成新手战斗，-2:主城点15下跳过引导)每段剧情都用单独的阶段值,名称(特殊非正常引导触发)填什么都行，不再对此字段值做校验,打开该场景/界面时触发，默认主城触发（all为对应战斗胜利，升级，主城等界面触发）,起始等级,触发关卡,补充条件（公式可扩展）,排序（多个stage满足，小的越先触发）,服务器交互(1、记录引导；3、进关卡记录引导，战斗返回继续引导),默默塞奖励,默默塞和初始选择卡牌相关的奖励,客户端显示奖励,1主城2关卡界面(每条引导最后触发),跳转步骤（该stage的最后一条配置生效）,出来延时,表现样式（1、引导员，2剧情对话，3、空白）,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段> id 0 为主角形象（样式2）,unitID（样式2）,对话角色额外偏移位置（样式2）,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_韩,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,显示指定背景图（样式2）,要点击的控件名称（样式1）,要点击的控件名称（样式1）,跳到目标节点（需要程序逻辑增加）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,强制上阵,任意位置取消（样式1）,明亮的地方（样式1）,选项文本1（样式1）,对应功能（样式1）,选项文本2（样式1）,对应功能（样式1）,选项组
1,,,1,summerChallenge101,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<11;21;31>
11,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,2,summerChallenge1001,,,,,,,,,,,,,2,,<32>,,{y=-150;x=0},,,,,,,"Welcome everyone to the Summer Festival Treasure Hunt activity! We are now standing on a beautiful archipelago, home of Milotic. In the coming time, everyone will join us in uncovering the legend of Milotic through thrilling and exciting games, and venture into the ancient and mysterious temple in the lake to discover Milotic’s secrets...","Chào mừng tất cả mọi người đến với hoạt động thám hiểm kho báu lễ hội mùa hè lần này. Nơi chúng ta đang đứng chính là quần đảo xinh đẹp, nơi sinh sống của Milotic. Trong thời gian tới, mọi người sẽ cùng chúng tôi truy tìm truyền thuyết về Milotic trong những trò chơi đầy mạo hiểm và thú vị, đồng thời tiến vào ngôi đền cổ kính và bí ẩn trong hồ để khám phá những bí mật của Milotic...","Selamat datang semua ke aktiviti Mencari Harta Karun Festival Musim Panas ini! Kita kini berada di kepulauan yang indah, tempat tinggal Milotic. Tidak lama lagi, semua akan bersama kami dalam menjejak legenda Milotic melalui permainan yang mencabar dan menyeronokkan, serta meneroka kuil purba dan misteri di dalam tasik untuk membongkar rahsia Milotic...","Welcome everyone to the Summer Festival Treasure Hunt activity! We are now standing on a beautiful archipelago, home of Milotic. In the coming time, everyone will join us in uncovering the legend of Milotic through thrilling and exciting games, and venture into the ancient and mysterious temple in the lake to discover Milotic’s secrets...",ขอต้อนรับทุกคนเข้าสู่กิจกรรมล่าขุมทรัพย์ในเทศกาลฤดูร้อน! สถานที่ที่เรายืนอยู่นี้คือหมู่เกาะที่สวยงามซึ่งเป็นถิ่นอาศัยของ Milotic ในช่วงเวลาต่อไป ทุกคนจะร่วมมือกับพวกเราเพื่อค้นหาตำนานของ Milotic ผ่านเกมที่เต็มไปด้วยความตื่นเต้นและความท้าทาย พร้อมทั้งเดินทางเข้าสู่วิหารโบราณลึกลับกลางทะเลสาบเพื่อค้นพบความลับของ Milotic...,"Maligayang pagdating sa lahat sa Treasure Hunt ng Summer Festival! Tayo ngayon ay nasa isang napakagandang kapuluan, ang tahanan ni Milotic. Sa mga susunod na sandali, sasamahan ninyo kami sa pagtuklas ng alamat ni Milotic sa pamamagitan ng mga kapanapanabik at mapangahas na laro, at pagtungo sa sinaunang at mahiwagang templo sa lawa upang tuklasin ang mga lihim ni Milotic...","Selamat datang semuanya di kegiatan Perburuan Harta Karun Festival Musim Panas! Kita sekarang berada di kepulauan yang indah, tempat tinggal Milotic. Dalam waktu dekat, kalian semua akan bergabung bersama kami untuk mengungkap legenda Milotic melalui permainan yang penuh tantangan dan keseruan, serta menjelajahi kuil kuno dan misterius di tengah danau untuk menemukan rahasia Milotic...",,,,,,,,,,,,,,,
1002,,,2,,,,,,,,,,,,,,2,,<32>,,{y=-150;x=0},,,,,,,"Legend has it that Milotic resides beneath the lake temple at the heart of this stunning archipelago, and the clues to enter the temple are hidden in our intense game stages. In the end, only one team will earn the chance to enter the temple, where Milotic and the ultimate treasure of this event await you!","Truyền thuyết Milotic trú ngụ dưới đền thờ hồ nằm ngay trung tâm quần đảo xinh đẹp, và manh mối để vào đền thờ hồ ẩn giấu trong các màn chơi gay cấn của chúng ta. Cuối cùng, chỉ một đội duy nhất giành được cơ hội vào đền thờ hồ, nơi Milotic và kho báu cuối cùng của sự kiện lần này đang chờ đợi các bạn!","Menurut legenda, Milotic tinggal di bawah kuil tasik yang terletak di tengah-tengah kepulauan yang menakjubkan ini, dan petunjuk untuk masuk ke kuil itu tersembunyi dalam permainan mencabar kami. Akhirnya, hanya satu pasukan yang akan mendapat peluang untuk masuk ke kuil tersebut, di mana Milotic dan harta karun utama acara ini sedang menanti anda!","Legend has it that Milotic resides beneath the lake temple at the heart of this stunning archipelago, and the clues to enter the temple are hidden in our intense game stages. In the end, only one team will earn the chance to enter the temple, where Milotic and the ultimate treasure of this event await you!",ตำนานกล่าวว่า Milotic อาศัยอยู่ใต้เทวสถานในทะเลสาบ ซึ่งอยู่ใจกลางหมู่เกาะอันงดงามแห่งนี้ และเบาะแสในการเข้าสู่วิหารถูกซ่อนไว้ในด่านเกมที่ตื่นเต้นของเรา สุดท้ายแล้วจะมีเพียงทีมเดียวเท่านั้นที่จะได้เข้าสู่เทวสถาน ซึ่ง Milotic และขุมทรัพย์สุดท้ายของกิจกรรมครั้งนี้กำลังรอคุณอยู่!,"Ayon sa alamat, naninirahan si Milotic sa ilalim ng templong nasa gitna ng lawa sa puso ng magandang kapuluan na ito, at ang mga pahiwatig upang makapasok sa templo ay nakatago sa mga hamon ng ating mga laro. Sa huli, iisang koponan lamang ang magkakaroon ng pagkakataong makapasok sa templo, kung saan naghihintay si Milotic at ang huling kayamanan ng kaganapan!","Menurut legenda, Milotic tinggal di bawah kuil danau yang terletak di tengah-tengah kepulauan menakjubkan ini, dan petunjuk untuk masuk ke kuil tersembunyi dalam tahapan permainan kita yang menegangkan. Pada akhirnya, hanya satu tim yang akan mendapatkan kesempatan masuk ke kuil tersebut, di mana Milotic dan harta karun utama dari acara ini sedang menunggu kalian!",,,,,,,,,,,,,,,
1003,,,2,,,,,,,,,,,,,,2,,<32>,,{y=-150;x=0},,,,,,,"Each team will receive a detailed expedition guide, including a map of our activity area and full details of the activities...","Mỗi đội sẽ nhận được một bản hướng dẫn thám hiểm chi tiết, bao gồm bản đồ khu vực hoạt động của chúng tôi và giới thiệu chi tiết về hoạt động...","Setiap pasukan akan menerima panduan ekspedisi terperinci, termasuk peta kawasan aktiviti kami dan maklumat lengkap tentang aktiviti...","Each team will receive a detailed expedition guide, including a map of our activity area and full details of the activities...",แต่ละทีมจะได้รับคู่มือสำรวจอย่างละเอียด ซึ่งประกอบด้วยแผนที่พื้นที่กิจกรรมของเราและรายละเอียดของกิจกรรม...,"Bawat koponan ay makakatanggap ng detalyadong gabay sa ekspedisyon, kabilang ang mapa ng lugar ng aktibidad at kumpletong impormasyon tungkol sa mga aktibidad...","Setiap tim akan menerima panduan ekspedisi lengkap, termasuk peta area kegiatan dan detail aktivitas...",,,,,,,,,,,,,,,
