VariableName,name_cn,name_tw,name_vn,name,name_en,name_th,name_in,name_ph,name_ma,type,showType,sortVal,totalCount,totalVal,date,conditionType,conditionNum,tipText_cn,tipText_vn,tipText,tipText_en,tipText_th,tipText_in,tipText_ph,tipText_ma,goto
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,,10,{gold=60000},7,1,1,"""""","""""","""""","""""","""""","""""","""""","""""",
ID,红包名称,红包名称,name_vn,红包名称,name_en,name_th,name_in,name_ph,name_ma,循环类型(1-一次性;2-循环3-每天一次),红包外观表现,排序价值,个数,价值,有效期-指获取后可发放的时间,成就红包的数值来源,数值限制,飘字提示-与跳转二选一填,tipText_vn,飘字提示-与跳转二选一填,tipText_en,tipText_th,tipText_in,tipText_ph,tipText_ma,前往跳转
1,,,"Giải đấu kết thúc, giành ngôi vô địch","Tournament ended, crowned champion","Tournament ended, crowned champion",การแข่งขันจบลง ได้รับตำแหน่งแชมป์,"Turnamen selesai, menjadi juara","Natapos ang torneo, napanalunan ang kampeonato","Pertandingan tamat, memenangi juara",,2,30,,{rmb=100},,44,,,Cần kết thúc đấu trường ở vị trí số 1,Need to finish the arena in 1st place  ,Need to finish the arena in 1st place  ,ต้องจบอารีนาในอันดับที่ 1  ,Harus menyelesaikan arena di peringkat 1  ,Kailangang matapos ang arena sa unang pwesto  ,Perlu tamatkan arena di tempat pertama  ,
2,,,Tăng sức mạnh lên 5000,Power increased by 5000,Power increased by 5000,พลังเพิ่มขึ้น 5000,Kekuatan meningkat sebesar 5000,Tumaas ang lakas ng 5000,Kuasa meningkat sebanyak 5000,,,14,,{gold=50000},,97,5000,,Cần đạt chiến lực 5000,"Need to reach 5,000 power  ","Need to reach 5,000 power  ","ต้องมีพลังรบถึง 5,000  ",Harus mencapai 5.000 kekuatan  ,"Kailangang maabot ang 5,000 na lakas  ","Perlu capai kuasa 5,000  ",
3,,,Tăng sức mạnh lên 10000,Power increased by 10000,Power increased by 10000,พลังเพิ่มขึ้น 10000,Kekuatan meningkat sebesar 10000,Tumaas ang lakas ng 10000,Kuasa meningkat sebanyak 10000,,,15,,{gold=75000},,97,10000,,Cần đạt chiến lực 10000,"Need to reach 10,000 power  ","Need to reach 10,000 power  ","ต้องมีพลังรบถึง 10,000  ",Harus mencapai 10.000 kekuatan  ,"Kailangang maabot ang 10,000 na lakas  ","Perlu capai kuasa 10,000  ",
4,,,Tăng sức mạnh lên 30000,Power increased by 30000,Power increased by 30000,พลังเพิ่มขึ้น 30000,Kekuatan meningkat sebesar 30000,Tumaas ang lakas ng 30000,Kuasa meningkat sebanyak 30000,,,16,,{gold=200000},,97,30000,,Cần đạt chiến lực 30000,"Need to reach 30,000 power  ","Need to reach 30,000 power  ","ต้องมีพลังรบถึง 30,000  ",Harus mencapai 30.000 kekuatan  ,"Kailangang maabot ang 30,000 na lakas  ","Perlu capai kuasa 30,000  ",
5,,,Tăng sức mạnh lên 50000,Power increased by 50000,Power increased by 50000,พลังเพิ่มขึ้น 50000,Kekuatan meningkat sebesar 50000,Tumaas ang lakas ng 50000,Kuasa meningkat sebanyak 50000,,,17,,{gold=300000},,97,50000,,Cần đạt chiến lực 50000,"Need to reach 50,000 power  ","Need to reach 50,000 power  ","ต้องมีพลังรบถึง 50,000  ",Harus mencapai 50.000 kekuatan  ,"Kailangang maabot ang 50,000 na lakas  ","Perlu capai kuasa 50,000  ",
6,,,Tăng sức mạnh lên 75000,Power increased by 75000,Power increased by 75000,พลังเพิ่มขึ้น 75000,Kekuatan meningkat sebesar 75000,Tumaas ang lakas ng 75000,Kuasa meningkat sebanyak 75000,,,18,,{gold=500000},,97,75000,,Cần đạt chiến lực 75000,"Need to reach 75,000 power  ","Need to reach 75,000 power  ","ต้องมีพลังรบถึง 75,000  ",Harus mencapai 75.000 kekuatan  ,"Kailangang maabot ang 75,000 na lakas  ","Perlu capai kuasa 75,000  ",
7,,,Tăng sức mạnh lên 100000,Power increased by 100000,Power increased by 100000,พลังเพิ่มขึ้น 100000,Kekuatan meningkat sebesar 100000,Tumaas ang lakas ng 100000,Kuasa meningkat sebanyak 100000,,,19,,{gold=500000},,97,100000,,Cần đạt chiến lực 100000,"Need to reach 100,000 power  ","Need to reach 100,000 power  ","ต้องมีพลังรบถึง 100,000  ",Harus mencapai 100.000 kekuatan  ,"Kailangang maabot ang 100,000 na lakas  ","Perlu capai kuasa 100,000  ",
8,,,Tăng sức mạnh lên 200000,Power increased by 200000,Power increased by 200000,พลังเพิ่มขึ้น 200000,Kekuatan meningkat sebesar 200000,Tumaas ang lakas ng 200000,Kuasa meningkat sebanyak 200000,,,20,,{rmb=100},,97,200000,,Cần đạt chiến lực 200000,"Need to reach 200,000 power  ","Need to reach 200,000 power  ","ต้องมีพลังรบถึง 200,000  ",Harus mencapai 200.000 kekuatan  ,"Kailangang maabot ang 200,000 na lakas  ","Perlu capai kuasa 200,000  ",
