VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_beizhu,isShow,icon,desc_cn,desc_tw,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc1_cn,desc1_in,desc1,desc1_vn,desc1_th,quality,use,type,stackMax,specialArgsMap,specialArgsMap_vn,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc_cn,produceDesc_tw,produceDesc,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop,languages
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""",,TRUE,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""",0,999999,{},{},{},{},{},<>,<>,0,0,1,1,0,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该物品,暫無固定獲取途徑可獲得該物品,There is no fixed way to obtain this item.,Không có cách cố định để có được mặt hàng này,There is no fixed way to obtain this item.,ไม่มีวิธีที่ตายตัวในการรับไอเทมนี้,Tidak ada cara tetap untuk mendapatkan item ini.,Walang tiyak na paraan para makuha ang item na ito.,Tiada cara tetap untuk mendapatkan item ini.,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE,<cn;ph;ma;en;vn;th;in>
道具ID,物品名,物品名,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_备注,是否显示给外网玩家,图标,功能描述,功能描述,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,世界观描述,世界观描述,世界观描述,世界观描述,世界观描述,品质作者:1.灰2.绿3.蓝4.紫5.金6.红7.彩,使用跳转,类型,堆栈上限,特殊参数,特殊参数,特殊参数,特殊参数,特殊参数,功能按键1.获取途径2.使用3.打开4.出售,特殊页签显示作者:默认不填写则读取类型，若填写，则无视类型强制页签0-全部1-消耗品2-材料3-碎片,出售价格,是否可自动出售,排序类型,排序优先级,碎片ID(可选，现在给材料用),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,前三個都沒就讀描述,produceDesc,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,分别表示在抽卡，恭喜获得,高级重生需要钻石,有效期类型作者:0.永久有效1.绝对有效期，获取后可保持时间2.终止有效期，有效期直到…,有效日期,有效时间-有效期类型为1时填写对应数字表示分钟/秒-有效期类型为2时填写数字如1809122355,过期处理作者:1.过期清理2.过期后消失3.过期后不可使用4.过期后仅标记（用于活动物品排序,最终掉落权值，等于配置权值（包括随机和固定掉落）*该修正值,最终掉落库权值，等于配置权值（drawitemslib中）*该修正值,重复获得道具转换,是否限时掉落,languages
11,,,Small Baozi,Bánh bao (nhỏ),Small Baozi,ซาลาเปาขนาดเล็ก,Baozi Kecil,Maliit na Baozi,Baozi Kecil,,,config/item/icon_exp_baozi.png,,,"Usable by heroes, grants 100 EXP  ","Có thể cho anh hùng sử dụng, tăng 100 điểm kinh nghiệm","Usable by heroes, grants 100 EXP  ",ใช้กับฮีโร่เพื่อรับ EXP 100  ,"Dapat digunakan oleh hero, menambah 100 EXP  ","Maaaring gamitin ng bayani, nagdadagdag ng 100 EXP  ","Boleh digunakan oleh hero, tambah 100 EXP  ",,,,,,2,strengthen-attribute,1,,{buy_rmb=1;buy_level=5;exp=100},{buy_rmb=1;buy_level=5;exp=100},,{buy_rmb=1;buy_level=5;exp=100},,<1;2>,<1>,,,17,,,10000,20000,activityGate-exp,,,,,,,,,,,,,,,0.0022,,,,,,,,,
12,,,Medium Baozi,Bánh bao (vừa),Medium Baozi,ซาลาเปาขนาดกลาง,Baozi Sedang,Katamtamang Baozi,Baozi Sederhana,,,config/item/icon_exp_xiaolongbao.png,,,"Usable by heroes, grants 300 EXP  ","Có thể cho anh hùng sử dụng, tăng 300 điểm kinh nghiệm","Usable by heroes, grants 300 EXP  ",ใช้กับฮีโร่เพื่อรับ EXP 300  ,"Dapat digunakan oleh hero, menambah 300 EXP  ","Maaaring gamitin ng bayani, nagdadagdag ng 300 EXP  ","Boleh digunakan oleh hero, tambah 300 EXP  ",,,,,,2,strengthen-attribute,1,,{buy_rmb=2;buy_level=20;exp=300},{buy_rmb=2;buy_level=20;exp=300},,{buy_rmb=2;buy_level=20;exp=300},,<1;2>,<1>,,,17,2,,10000,20000,activityGate-exp,,,,,,,,,,,,,,,0.0067,,,,,,,,,
13,,,Large Baozi,Bánh bao (lớn),Large Baozi,ซาลาเปาขนาดใหญ่,Baozi Besar,Malaking Baozi,Baozi Besar,,,config/item/icon_exp_fantuan_1.png,,,"Usable by heroes, grants 1000 EXP  ","Có thể cho anh hùng sử dụng, tăng 1000 điểm kinh nghiệm","Usable by heroes, grants 1000 EXP  ",ใช้กับฮีโร่เพื่อรับ EXP 1000  ,"Dapat digunakan oleh hero, menambah 1000 EXP  ","Maaaring gamitin ng bayani, nagdadagdag ng 1000 EXP  ","Boleh digunakan oleh hero, tambah 1000 EXP  ",,,,,,3,strengthen-attribute,1,,{buy_rmb=3;buy_level=35;exp=1000},{buy_rmb=3;buy_level=35;exp=1000},,{buy_rmb=3;buy_level=35;exp=1000},,<1;2>,<1>,,,17,3,,10000,20000,activityGate-exp,,,,,,,,,,,,,,,0.0222,,,,,,,,,
14,,,Small Rice Ball,Cơm nắm (nhỏ),Small Rice Ball,ข้าวปั้นขนาดเล็ก,Nasi Kepal Kecil,Maliit na Rice Ball,Nasi Kepal Kecil,,,config/item/icon_exp_fantuan_2.png,,,"Usable by heroes, grants 3000 EXP  ","Có thể cho anh hùng sử dụng, tăng 3000 điểm kinh nghiệm","Usable by heroes, grants 3000 EXP  ",ใช้กับฮีโร่เพื่อรับ EXP 3000  ,"Dapat digunakan oleh hero, menambah 3000 EXP  ","Maaaring gamitin ng bayani, nagdadagdag ng 3000 EXP  ","Boleh digunakan oleh hero, tambah 3000 EXP  ",,,,,,3,strengthen-attribute,1,,{buy_rmb=6;buy_level=50;exp=3000},{buy_rmb=6;buy_level=50;exp=3000},,{buy_rmb=6;buy_level=50;exp=3000},,<1;2>,<1>,,,17,4,,10000,20000,activityGate-exp,,,,,,,,,,,,,,,0.0667,,,,,,,,,
15,,,Medium Rice Ball,Cơm nắm (vừa),Medium Rice Ball,ข้าวปั้นขนาดกลาง,Nasi Kepal Sedang,Katamtamang Rice Ball,Nasi Kepal Sederhana,,,config/item/icon_exp_fantuan_3.png,,,"Usable by heroes, grants 10000 EXP  ","Có thể cho anh hùng sử dụng, tăng 10000 điểm kinh nghiệm","Usable by heroes, grants 10000 EXP  ",ใช้กับฮีโร่เพื่อรับ EXP 10000  ,"Dapat digunakan oleh hero, menambah 10000 EXP  ","Maaaring gamitin ng bayani, nagdadagdag ng 10000 EXP  ","Boleh digunakan oleh hero, tambah 10000 EXP  ",,,,,,4,strengthen-attribute,1,49999,{buy_rmb=15;buy_level=60;exp=10000},{buy_rmb=15;buy_level=60;exp=10000},,{buy_rmb=15;buy_level=60;exp=10000},,<1;2>,<1>,,,17,5,,10000,20000,activityGate-exp,,,,,,,,,,,,,,,0.2222,,,,,,,,,
16,,,Large Rice Ball,Cơm nắm (lớn),Large Rice Ball,ข้าวปั้นขนาดใหญ่,Nasi Kepal Besar,Malaking Rice Ball,Nasi Kepal Besar,,,config/item/icon_exp_fantuan_4.png,,,"Usable by heroes, grants 30000 EXP  ","Có thể cho anh hùng sử dụng, tăng 30000 điểm kinh nghiệm","Usable by heroes, grants 30000 EXP  ",ใช้กับฮีโร่เพื่อรับ EXP 30000  ,"Dapat digunakan oleh hero, menambah 30000 EXP  ","Maaaring gamitin ng bayani, nagdadagdag ng 30000 EXP  ","Boleh digunakan oleh hero, tambah 30000 EXP  ",,,,,,5,strengthen-attribute,1,29999,{buy_rmb=40;buy_level=70;exp=30000},{buy_rmb=40;buy_level=70;exp=30000},,{buy_rmb=40;buy_level=70;exp=30000},,<1;2>,<1>,,,17,6,,10000,20000,activityGate-exp,,,,,,,,,,,,,,,0.6667,,,,,,,,,
19,,,Refined Currency,Tiền tệ tinh luyện,Refined Currency,เงินตราบริสุทธิ์,Mata Uang Diperhalus,Pinong Salapi,Mata Wang Diperhalus,,,config/item/icon_txjn.png,,,A mysterious item that can change a hero's innate attribute  ,Một vật phẩm thần bí có thể thay đổi thuộc tính bẩm sinh của anh hùng,A mysterious item that can change a hero's innate attribute  ,ไอเทมลึกลับที่เปลี่ยนคุณสมบัติโดยกำเนิดของฮีโร่  ,Item misterius yang dapat mengubah atribut bawaan hero  ,Isang mahiwagang gamit na kayang baguhin ang likas na katangian ng bayani  ,Item misteri yang boleh menukar sifat semula jadi hero  ,,,,,,4,strengthen-nvalue,,,,,,,,<1;2>,<2>,,,2,,,,,,,,,,,,This item can be obtained through daily mission activity chests and online gift packages.,Vật phẩm này có thể nhận được thông qua rương hoạt động nhiệm vụ hàng ngày và gói quà tặng trực tuyến,This item can be obtained through daily mission activity chests and online gift packages.,ไอเท็มนี้สามารถรับได้ผ่านทางหีบกิจกรรมภารกิจรายวันและแพ็คเกจของขวัญออนไลน์,Item ini dapat diperoleh melalui peti aktivitas misi harian dan paket hadiah online.,Ang item na ito ay maaaring makuha sa pamamagitan ng mga daily mission activity chest at online gift packages.,Item ini boleh diperoleh melalui peti aktiviti misi harian dan pakej hadiah dalam talian.,,2,,,,,,,,,
30,,,Special Animation Puzzle Collection,Tuyển tập ghép hình hoạt hình đặc sắc,Special Animation Puzzle Collection,คอลเลคชั่นปริศนาแอนิเมชั่นพิเศษ,Koleksi Puzzle Animasi Spesial,Espesyal na Koleksyon ng Puzzles na Anime,Koleksi Teka-teki Animasi Khas,,,config/item/icon_xwsp.png,,,Unlocks partner animation in Icha Icha Paradise  ,Dùng để mở khóa hoạt ảnh bạn tình trong Icha Icha Paradise,Unlocks partner animation in Icha Icha Paradise  ,ปลดล็อกแอนิเมชันคู่รักใน Icha Icha Paradise  ,Digunakan untuk membuka animasi pasangan di Icha Icha Paradise  ,Ginagamit upang i-unlock ang partner animation sa Icha Icha Paradise  ,Digunakan untuk membuka animasi pasangan dalam Icha Icha Paradise  ,,,,,,4,xiaowu,20,,,,,,,<1;2>,<1>,,,17,8,,10000,20000,,,,,,,,,,,,,,,,,,,,,,,,,
