VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任務名字,任務名字,name_vn,name_en,name_th,name_in,name_ph,name_ma,任务描述,任务描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
1,,,Search for lost items,Tìm kiếm đồ thất lạc,Search for lost items,ค้นหาของที่หายไป,Mencari barang yang hilang,Maghanap ng nawawalang gamit,Cari barang yang hilang,,Help the Third Hokage retrieve the lost conduit  ,Giúp Hokage Thứ Ba tìm lại ống dẫn bị mất,Help the Third Hokage retrieve the lost conduit  ,ช่วยโฮคาเงะรุ่นที่สามตามหาอุปกรณ์ที่หายไป  ,Bantu Hokage Ketiga menemukan kembali pipa yang hilang  ,Tulungan si Third Hokage na mahanap ang nawawalang tubo  ,Bantu Hokage Ketiga mencari semula saluran yang hilang  ,,100,60,<30;34>,{2101=1;gold=5000},{930=1;2101=1},<0.4;0.6>,3,<1;2>,70,1,{2=1},30
2,,,Resettle refugees,Tái định cư người tị nạn,Resettle refugees,ตั้งถิ่นฐานใหม่ให้ผู้ลี้ภัย,Menempatkan kembali pengungsi,I-resettle ang mga refugee,Menempatkan semula pelarian,,Help the refugees find a place of asylum  ,Giúp người tị nạn tìm nơi tị nạn,Help the refugees find a place of asylum  ,ช่วยผู้ลี้ภัยหาที่หลบภัย  ,Bantu para pengungsi menemukan tempat perlindungan  ,Tulungan ang mga refugee na makahanap ng masisilungan  ,Bantu pelarian mencari tempat perlindungan  ,,100,60,<30;34>,{2101=1;gold=5000},{2101=1;gold=6000},<0.4;0.6>,3,<1;3>,70,2,{2=1},30
3,,,Treasure hunt in the fairyland,Truy tìm kho báu tại vùng đất thần tiên,Treasure hunt in the fairyland,ล่าขุมทรัพย์ในดินแดนเทพนิยาย,Berburu harta karun di negeri dongeng,Manghuli ng kayamanan sa engkantadong lupa,Mencari harta karun di tanah dongeng,,Accidentally obtained a treasure map pointing to a buried treasure somewhere on Mount Myouki  ,"Vô tình có được một bản đồ kho báu, chỉ dẫn kho báu được chôn cất ở một nơi nào đó trên núi Myouki",Accidentally obtained a treasure map pointing to a buried treasure somewhere on Mount Myouki  ,ได้แผนที่ขุมทรัพย์โดยบังเอิญ ชี้จุดสมบัติที่ฝังอยู่ที่ภูเขาเมียวกิ  ,Secara tidak sengaja mendapatkan peta harta karun yang menunjukkan lokasi harta yang terkubur di Gunung Myouki  ,Di sinasadyang makuha ang mapa ng kayamanan na nagtuturo sa isang nakabaong kayamanan sa Bundok Myouki  ,Secara tidak sengaja memperoleh peta harta karun yang menunjukkan lokasi harta di Gunung Myouki  ,,100,60,<30;34>,{2101=1;gold=5000},{2101=1;12=5},<0.4;0.6>,3,<1;4>,70,3,{1=1},30
4,,,Collect the six relics,Thu thập sáu di vật,Collect the six relics,รวบรวมวัตถุโบราณทั้งหก,Mengumpulkan enam relik,Kolektahin ang anim na relikya,Kumpulkan enam artifak,,"In a dream, received guidance from the Sage of Six Paths and found the location of the hidden red pot  ","Trong giấc mơ, nhận được chỉ dẫn của Sage of Six Paths và tìm thấy nơi chôn giấu của bình đỏ","In a dream, received guidance from the Sage of Six Paths and found the location of the hidden red pot  ",ในความฝัน ได้รับคำแนะนำจากเซียนหกวิถี และพบที่ซ่อนของหม้อแดง  ,"Dalam mimpi, menerima petunjuk dari Sage of Six Paths dan menemukan tempat tersembunyinya guci merah  ","Sa panaginip, nakatanggap ng gabay mula sa Sage of Six Paths at natagpuan ang taguan ng pulang banga  ","Dalam mimpi, menerima petunjuk dari Sage of Six Paths dan menemui tempat tersembunyinya periuk merah  ",2,100,120,<30;34>,{2101=2;gold=6250},{930=2;2101=2},<0.5;0.7>,3,<1;5>,70,1,{2=1},30
5,,,Rap training,Huấn luyện rap,Rap training,ฝึกแร็ป,Latihan rap,Pagsasanay sa rap,Latihan rap,,Compose rap with Killer Bee to improve your rapping skills  ,Sáng tác rap cùng Kirabi để nâng cao kỹ năng nói rap của bạn,Compose rap with Killer Bee to improve your rapping skills  ,แต่งเพลงแร็ปร่วมกับคิลเลอร์บีเพื่อฝึกทักษะการแร็ป  ,Buat lagu rap bersama Killer Bee untuk meningkatkan kemampuan rap-mu  ,Gumawa ng rap kasama si Killer Bee para gumaling sa pagra-rap  ,Cipta lagu rap bersama Killer Bee untuk meningkatkan kemahiran rap anda  ,2,100,120,<30;34>,{2101=2;gold=6250},{2101=2;gold=10000},<0.5;0.7>,3,<2;3>,70,2,{2=1},30
6,,,Capture the traitor,Bắt giữ kẻ phản bội,Capture the traitor,จับกุมผู้ทรยศ,Tangkap pengkhianat,Hulihin ang traydor,Tangkap pengkhianat,,Help the village capture the rogue ninja  ,Giúp làng bắt được ninja phản bội,Help the village capture the rogue ninja  ,ช่วยหมู่บ้านจับนินจาทรยศ  ,Bantu desa menangkap ninja pengkhianat  ,Tulungan ang nayon na mahuli ang traydor na ninja  ,Bantu kampung menangkap ninja yang mengkhianat  ,2,100,120,<30;34>,{2101=2;gold=6250},{2101=2;12=7},<0.5;0.7>,3,<2;4>,70,3,{1=1},30
7,,,Village inspection,Thanh tra ngôi làng,Village inspection,ตรวจสอบหมู่บ้าน,Pemeriksaan desa,Imbestigahan ang nayon,Pemeriksaan kampung,,Stroll around the village to make sure everything is okay  ,"Đi dạo quanh làng, kiểm tra mọi thứ có ổn không",Stroll around the village to make sure everything is okay  ,เดินตรวจตรารอบหมู่บ้านเพื่อดูว่าทุกอย่างเรียบร้อยดีไหม  ,Berjalan keliling desa untuk memeriksa apakah semuanya baik-baik saja  ,Mag-ikot sa nayon para tiyaking maayos ang lahat  ,Ronda-ronda di sekitar kampung untuk memastikan semuanya dalam keadaan baik  ,3,100,180,<30;34>,{2102=1;gold=7500},{930=3;2102=1},<0.6;0.8>,3,<2;5>,70,1,{2=1},30
8,,,Weed removal assistance,Hỗ trợ nhổ cỏ,Weed removal assistance,ช่วยถอนหญ้า,Bantu cabut rumput,Tumulong magbunot ng damo,Bantu cabut rumput,,The villagers' fields are overgrown with weeds and need many people to help remove them  ,"Cánh đồng của dân làng mọc đầy cỏ dại, cần rất nhiều người để giúp tiêu diệt cỏ dại",The villagers' fields are overgrown with weeds and need many people to help remove them  ,ทุ่งของชาวบ้านมีวัชพืชขึ้นเต็มไปหมด ต้องการคนมาช่วยกำจัด  ,"Ladang milik warga dipenuhi gulma, butuh banyak orang untuk membantu membersihkannya  ","Ang mga bukirin ng mga mamamayan ay tinubuan ng damo, kailangan ng maraming tao para tumulong  ","Ladang penduduk kampung penuh dengan rumput liar, perlukan ramai orang untuk membantu membersihkannya  ",3,100,180,<30;34>,{2102=1;gold=7500},{2102=1;gold=16000},<0.6;0.8>,3,<3;4>,70,2,{2=2},30
9,,,Escort the caravan,Hộ tống đoàn lữ hành,Escort the caravan,คุ้มกันขบวนคาราวาน,Mengawal karavan,Eskortahan ang caravan,Iringi kafilah,,Escort the trade caravan to the Cloud Village for a transaction  ,Hộ tống đoàn thương mại tới Làng Mây để giao dịch,Escort the trade caravan to the Cloud Village for a transaction  ,คุ้มกันขบวนค้าขายไปยังหมู่บ้านเมฆเพื่อทำการซื้อขาย  ,Kawal kafilah dagang ke Desa Awan untuk melakukan transaksi  ,I-escort ang karaban ng kalakalan papunta sa Cloud Village para makipagkalakalan  ,Iringi kafilah perdagangan ke Kampung Awan untuk urusan niaga  ,3,100,180,<30;34>,{2102=1;gold=7500},{2102=1;12=10},<0.6;0.8>,3,<3;5>,70,3,{2=2},30
10,,,Eliminate bandits,Tiêu diệt bọn cướp,Eliminate bandits,กำจัดโจร,Basmi perampok,Lipulin ang mga tulisan,Hapuskan perompak,,"Bandits around the village have been active lately, investigate and eliminate them  ","Các tên cướp quanh làng gần đây hoạt động mạnh, đi điều tra nguyên nhân và tiêu diệt bọn cướp","Bandits around the village have been active lately, investigate and eliminate them  ",โจรบริเวณรอบหมู่บ้านเริ่มเคลื่อนไหวมากขึ้น ไปสืบหาสาเหตุและจัดการพวกมัน  ,"Para bandit di sekitar desa semakin aktif, selidiki dan basmi mereka  ","Ang mga tulisan sa paligid ng nayon ay aktibo nitong mga araw, imbestigahan at sugpuin sila  ","Perompak di sekitar kampung semakin aktif, selidik dan hapuskan mereka  ",4,100,240,<30;34>,{2102=2;gold=10000},{930=4;2102=2},<0.9;1.1>,4,<4;5>,70,1,{2=2},30
11,,,Disguise infiltration,Cải trang để thâm nhập,Disguise infiltration,ปลอมตัวแทรกซึม,Penyamaran penyusupan,Magbalatkayo at sumingit,Menyamar dan menyusup,,Use seduction skills to sneak into the women’s bathhouse and search for the lost intimate paradise  ,"Sử dụng kỹ năng quyến rũ để lẻn vào phòng tắm nữ, tìm kiếm thiên đường thân mật đã mất",Use seduction skills to sneak into the women’s bathhouse and search for the lost intimate paradise  ,ใช้เสน่ห์ลับลอบเข้าโรงอาบน้ำหญิง เพื่อตามหาสวรรค์ที่หายไป  ,Gunakan teknik rayuan untuk menyelinap ke pemandian wanita dan mencari surga yang hilang  ,Gamitin ang charm techniques para makalusot sa paliguan ng babae at hanapin ang nawawalang paraiso  ,Gunakan teknik godaan untuk menyusup masuk ke bilik mandi wanita dan cari syurga intim yang hilang  ,4,100,240,<30;34>,{2102=2;gold=10000},{2102=2;gold=20000},<0.9;1.1>,4,<1;2>,70,2,{2=2},30
12,,,Search for materials,Tìm kiếm nguyên liệu,Search for materials,ค้นหาวัสดุ,Cari bahan,Maghanap ng materyales,Cari bahan,,Go to the frontline battlefield to find a ninja with a bloodline limit for Orochimaru  ,Đi đến chiến trường tiền tuyến để tìm kiếm ninja có giới hạn kế thừa máu cho Orochimaru,Go to the frontline battlefield to find a ninja with a bloodline limit for Orochimaru  ,เดินทางไปแนวหน้าสนามรบเพื่อตามหานินจาที่มีสายเลือดพิเศษให้โอโรจิมารุ  ,Pergi ke medan perang garis depan untuk mencari ninja dengan kekkei genkai untuk Orochimaru  ,Pumunta sa frontlines para hanapin ang ninja na may bloodline limit para kay Orochimaru  ,Pergi ke medan perang barisan hadapan untuk mencari ninja berdarah khas untuk Orochimaru  ,4,100,240,<30;34>,{2102=2;gold=10000},{2102=2;12=12},<0.9;1.1>,4,<1;3>,70,3,{2=2},30
13,,,Teach ninja techniques,Giảng dạy kỹ thuật ninja,Teach ninja techniques,สอนเทคนิคนินจา,Mengajar teknik ninja,Magturo ng teknik ng ninja,Ajarkan teknik ninja,,"Iruka-sensei is busy, you need to teach ninjutsu to Naruto and the others in his place  ","Iruka-sensei có việc bận, bạn cần thay ông ấy dạy ninjutsu cho Naruto và những người khác","Iruka-sensei is busy, you need to teach ninjutsu to Naruto and the others in his place  ",อิรุกะเซนเซย์ติดธุระ คุณต้องสอนนินจุตสึแทนเขาให้กับนารูโตะและคนอื่น ๆ  ,"Iruka-sensei sedang sibuk, kamu harus menggantikan dia mengajar ninjutsu kepada Naruto dan yang lainnya  ","Abala si Iruka-sensei, ikaw ang kailangang magturo ng ninjutsu kina Naruto at iba pa  ","Iruka-sensei sedang sibuk, anda perlu menggantikannya mengajar ninjutsu kepada Naruto dan yang lain  ",5,100,300,<30;34>,{2103=1;gold=12500},{930=5;2103=1},<1.1;1.3>,4,<1;4>,70,1,{2=2},30
