VariableName,floor,openDay,gateSeq,autoCards,autoCards_tw,autoCards_en,autoCards_vn,autoCards_kr,cards,cards_tw,cards_en,cards_vn,cards_kr,deployLock,winCondition,roundLimit,name,name_vn,name_tw,name_en,name_th,name_in,name_ph,name_ma,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,deployDesc,monsterIDs,scene,beforePlot,beforePlotRepeat,beforeRes,reviewPlot,reviewPlot_vn,reviewPlot_tw,reviewPlot_en,reviewPlot_th,reviewPlot_in,reviewPlot_ph,reviewPlot_ma,reviewPlot_kr,award,award_tw,award_en,award_vn,award_kr
Defaults,0,0,0,{},{},{},{},{},<>,<>,<>,<>,<>,<0;0;0;0;0;0>,{},10,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,stage/city.csv,,FALSE,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},{},{},{},{}
ID,层数,开启天数,关卡索引,自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),布阵上锁标记(0-不上锁;1-上锁),胜利条件({type=<value;...>;...}1-击杀固定id的卡牌;2-达到一定回合且己方存活单位数量超过x个;3-战斗结束时己方仅死亡某个固定id的卡牌),回合限制数,关卡名称,name_vn,關卡名稱,name_en,name_th,name_in,name_ph,name_ma,关卡描述,關卡描述,desc_en,desc_th,desc_in,desc_ph,desc_ma,阵容信息,怪物ID,场景,关卡前剧情,是否重复触发关卡前剧情,关卡前剧情背景,剧情回顾,reviewPlot_vn,劇情回顧,reviewPlot_en,reviewPlot_th,reviewPlot_in,reviewPlot_ph,reviewPlot_ma,줄거리 검토,首通奖励,首通奖励,首通奖励,首通奖励,首通奖励
101,1,1,,,,,,,,,,,,<0;0;0;1;1;1>,,,Test One  ,Thử nghiệm một,,Test One  ,การทดสอบหนึ่ง  ,Uji Coba Satu  ,Pagsubok Isa  ,Ujian Satu  ,This is Test 10,,This is Test 10,นี่คือการทดสอบ 10,Ini adalah Uji Coba 10,Ito ay Pagsubok 10,Ini adalah Ujian 10,,<101;102;103>,"csv.""csv.stage.sum",1,,,Evaluation 1 (Must complete the level to display),Đánh giá 1 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 1 (Must complete the level to display),การประเมิน 1 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 1 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 1 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 1 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
102,2,1,,,,,,,,,,,,<0;1;0;1;0;1>,,,Test Two  ,Thử nghiệm hai,,Test Two  ,การทดสอบสอง  ,Uji Coba Dua  ,Pagsubok Dalawa  ,Ujian Dua  ,This is Test 2,,This is Test 2,นี่คือการทดสอบ 2,Ini adalah Uji Coba 2,Ito ay Pagsubok 2,Ini adalah Ujian 2,,<111;112;113>,"csv.""csv.stage.sum",,,,Evaluation 2 (Must complete the level to display),Đánh giá 2 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 2 (Must complete the level to display),การประเมิน 2 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 2 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 2 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 2 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
103,3,1,,,,,,,,,,,,,,,Test Three  ,Thử nghiệm ba,,Test Three  ,การทดสอบสาม  ,Uji Coba Tiga  ,Pagsubok Tatlo  ,Ujian Tiga  ,This is Test 3,,This is Test 3,นี่คือการทดสอบ 3,Ini adalah Uji Coba 3,Ito ay Pagsubok 3,Ini adalah Ujian 3,,<121;122;123>,"csv.""csv.stage.sum",,,,Evaluation 3 (Must complete the level to display),Đánh giá 3 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 3 (Must complete the level to display),การประเมิน 3 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 3 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 3 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 3 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
104,4,2,,,,,,,,,,,,<0;1;0;1;0;1>,,,Test Four  ,Thử nghiệm bốn,,Test Four  ,การทดสอบสี่  ,Uji Coba Empat  ,Pagsubok Apat  ,Ujian Empat  ,This is Test 4,,This is Test 4,นี่คือการทดสอบ 4,Ini adalah Uji Coba 4,Ito ay Pagsubok 4,Ini adalah Ujian 4,,<131;132;133>,"csv.""csv.stage.sum",,,,Evaluation 4 (Must complete the level to display),Đánh giá 4 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 4 (Must complete the level to display),การประเมิน 4 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 4 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 4 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 4 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
105,5,2,,,,,,,,,,,,,,,Test Five  ,Thử nghiệm năm,,Test Five  ,การทดสอบห้า  ,Uji Coba Lima  ,Pagsubok Lima  ,Ujian Lima  ,This is Test 5,,This is Test 5,นี่คือการทดสอบ 5,Ini adalah Uji Coba 5,Ito ay Pagsubok 5,Ini adalah Ujian 5,,<141;142;143>,"csv.""csv.stage.sum",,,,Evaluation 5 (Must complete the level to display),Đánh giá 5 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 5 (Must complete the level to display),การประเมิน 5 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 5 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 5 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 5 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
106,6,2,,,,,,,,,,,,<0;1;0;1;0;1>,,,Test Six  ,Thử nghiệm sáu,,Test Six  ,การทดสอบหก  ,Uji Coba Enam  ,Pagsubok Anim  ,Ujian Enam  ,This is Test 6,,This is Test 6,นี่คือการทดสอบ 6,Ini adalah Uji Coba 6,Ito ay Pagsubok 6,Ini adalah Ujian 6,,<151;152;153>,"csv.""csv.stage.sum",,,,Evaluation 6 (Must complete the level to display),Đánh giá 6 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 6 (Must complete the level to display),การประเมิน 6 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 6 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 6 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 6 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
107,7,3,,,,,,,,,,,,,,,Test Seven  ,Thử nghiệm bảy,,Test Seven  ,การทดสอบเจ็ด  ,Uji Coba Tujuh  ,Pagsubok Pito  ,Ujian Tujuh  ,This is Test 7,,This is Test 7,นี่คือการทดสอบ 7,Ini adalah Uji Coba 7,Ito ay Pagsubok 7,Ini adalah Ujian 7,,<161;162;163>,"csv.""csv.stage.sum",,,,Evaluation 7 (Must complete the level to display),Đánh giá 7 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 7 (Must complete the level to display),การประเมิน 7 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 7 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 7 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 7 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
108,8,3,,,,,,,,,,,,<0;1;0;1;0;1>,,,Test Eight  ,Thử nghiệm tám,,Test Eight  ,การทดสอบแปด  ,Uji Coba Delapan  ,Pagsubok Walo  ,Ujian Lapan  ,This is Test 8,,This is Test 8,นี่คือการทดสอบ 8,Ini adalah Uji Coba 8,Ito ay Pagsubok 8,Ini adalah Ujian 8,,<171;172;173>,"csv.""csv.stage.sum",,,,Evaluation 8 (Must complete the level to display),Đánh giá 8 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 8 (Must complete the level to display),การประเมิน 8 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 8 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 8 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 8 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
