VariableName,_beizhu,catalogType,number,name_cn,name_tw,name,name_vn,name_ma,name_en,name_th,name_ph,name_in,contain,content_cn,content_tw,content,content_vn,content_in,content_th
Defaults,,2,,"""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,"""""","""""","""""","""""","""""",""""""
ID,备注,类型    1.一级类型    2.二级类型,序号,目录名称,目錄名稱,目录名称,目录名称,目录名称,目录名称,目录名称,目录名称,目录名称,包含的二级目录ID,内容,内容,内容,内容,内容,内容
1,,1,1,,,Battle interface,Giao diện chiến đấu,Antara muka pertempuran,Battle interface,อินเตอร์เฟซการต่อสู้,Interface ng labanan,Antarmuka pertempuran,,,,,,,
2,,1,2,,,Waves and battle rounds,Làn sóng và lượt chiến đấu,Gelombang dan pusingan pertempuran,Waves and battle rounds,คลื่นและรอบการต่อสู้,Alon at mga round ng laban,Gelombang dan ronde pertempuran,,,,,,,
3,,1,3,,,Winning conditions,Điều kiện thắng thua,Syarat kemenangan,Winning conditions,เงื่อนไขการชนะ,Kondisyon para manalo,Syarat kemenangan,,,,,,,
4,,1,4,,,Anger rules,Quy tắc nộ khí,Peraturan kemarahan,Anger rules,กฎความโกรธ,Batas ng galit,Aturan kemarahan,,,,,,,
5,,1,5,,,Pokémon skills,Kỹ năng anh hùng,Kemahiran Pokémon,Pokémon skills,ทักษะโปเกมอน,Kasanayan ng Pokémon,Skill Pokémon,,,,,,,
6,,1,6,,,Special effect & moves,Hành vi hiệu ứng đặc biệt,Kesan khas & pergerakan,Special effect & moves,เอฟเฟกต์พิเศษและท่าไม้ตาย,Espesyal na epekto at galaw,Efek khusus & gerakan,<603;606>,,,,,,
7,,1,7,,,Control effect,Hiệu ứng kiểm soát,Kesan kawalan,Control effect,เอฟเฟกต์ควบคุม,Epekto ng kontrol,Efek kontrol,<701;703;704;705;706;707;708;709;710;711;714>,,,,,,
8,,1,8,,,Negative effect,Hiệu ứng tiêu cực,Kesan negatif,Negative effect,เอฟเฟกต์สถานะลบ,Masamang epekto,Efek negatif,<801;802;803;804;805;806;807;810>,,,,,,
9,,1,9,,,Other BUFF effects,Hiệu ứng BUFF khác,Kesan BUFF lain,Other BUFF effects,บัฟอื่น ๆ,Iba pang mga BUFF,Efek BUFF lainnya,<901;902;903;904;906;907;908>,,,,,,
603,,,,,,Avoid death,Thông cảm,Elak maut,Avoid death,กันตาย,Iwas kamatayan,Hindari kematian,,,,,,,
606,,,,,,Stealth,Tàng hình,Halimunan,Stealth,ล่องหน,Pagkakatago,Menghilang,,,,,,,
701,,,,,,Frozen,Choáng váng,Beku,Frozen,แช่แข็ง,Nagyelo,Membeku,,,,,,,
703,,,,,,Frozen,Đóng băng,Beku,Frozen,แช่แข็ง,Nagyelo,Membeku,,,,,,,
704,,,,,,Entangle,Trói buộc,Terikat,Entangle,พันธนาการ,Pagkakatali,Terikat,,,,,,,
705,,,,,,Silence,Câm lặng,Senyap,Silence,ปิดปาก,Katahimikan,Bisu,,,,,,,
706,,,,,,Paralysis,Tê liệt,Lumpuh,Paralysis,อัมพาต,Pagkalumpo,Kelumpuhan,,,,,,,
707,,,,,,Confuse,Hỗn loạn,Keliru,Confuse,สับสน,Pagkalito,Bingung,,,,,,,
708,,,,,,Charm,Mê hoặc,Pesona,Charm,เสน่ห์,Pagkaakit,Pesona,,,,,,,
709,,,,,,provoke,Khiêu khích,Provokasi,Provoke,ยั่วยุ,Panggugulo,Memancing,,,,,,,
710,,,,,,Taunt,Chế nhạo,Ejek,Taunt,ล่อลวง,Pang-aasar,Menghina,,,,,,,
711,,,,,,Sleep,Ngủ say,Tidur,Sleep,หลับ,Tulog,Tidur,,,,,,,
714,,,,,,Bondage,Trói buộc,Terpenjara,Bondage,จองจำ,Pagkakabihag,Terbelenggu,,,,,,,
801,,,,,,Burn,Thiêu đốt,Terbakar,Burn,เผาไหม้,Pagsunog,Terbakar,,,,,,,
802,,,,,,Poisoning,Trúng độc,Racun,Poisoning,พิษ,Pagkalason,Keracunan,,,,,,,
803,,,,,,Bleed,Chảy máu,Berdarah,Bleed,เลือดออก,Pagdurugo,Berdarah,,,,,,,
