VariableName,tab,sender_cn,sender_vn,sender_th,sender_in,sender,subject_ma,subject_ph,subject_en,subject_vn,subject_th,subject_in,subject,attachs,special,content_cn,content_vn,content,content_ma,content_ph,content_en,content_th,content_in
Defaults,2,,,,,,,,,,,,,{},FALSE,,,,,,,,
VariableName,tab,sender,sender,sender,sender,sender,subject,subject,subject,subject,subject,subject,subject,attachs,special,content,content,content,content,content,content,content,content
1,1,Admin,Admin,Admin,Admin,Admin,Mel Surat Sistem,Sulat ng Sistema,System Mail,System Mail,จดหมายระบบ,Surat Sistem,System Mail,,,,,,,,,,
2,,Admin,Admin,Admin,Admin,Admin,Emel GM,Email ng GM,GM Email,GM Email,อีเมล GM,Email GM,GM Email,,,,,,,,,,
3,,Admin,Admin,Admin,Admin,Admin,Ganjaran Penyelesaian Arena,Gantimpala sa Arena Settlement,Arena Settlement Reward,Arena Settlement Reward,รางวัลสิ้นสุดเวทีอารีนา,Hadiah Penyelesaian Arena,Arena Settlement Reward,,,"Các bạn thân mến:\n Màn trình diễn của bạn trên đấu trường thật tuyệt vời. Tính đến 21h hôm nay thứ hạng của bạn là %d. Phần thưởng giải quyết đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Your performance in the arena was amazing. As of 9:00 PM today, your ranking is %d. The settlement reward has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Your performance in the arena was amazing. As of 9:00 PM today, your ranking is %d. The settlement reward has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Prestasi anda di Arena sangat mengagumkan. Sehingga jam 21:00 hari ini, kedudukan anda ialah %d. Ganjaran penyelesaian telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Napakagaling ng iyong pagganap sa arena. Hanggang 21:00 ngayong araw, ang ranggo mo ay %d. Naipadala na ang reward sa pamamagitan ng email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Your performance in the arena was amazing. As of 9:00 PM today, your ranking is %d. The settlement reward has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n การแสดงของคุณในสนามประลองยอดเยี่ยมมาก จนถึงเวลา 21:00 วันนี้ อันดับของคุณคือ %d รางวัลการจัดอันดับได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Penampilanmu di arena sangat luar biasa. Hingga pukul 21:00 hari ini, peringkatmu adalah %d. Hadiah penyelesaian telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
4,,Admin,Admin,Admin,Admin,Admin,Lombong telah habis!,Ubus na ang mina!,Mine is depleted!,Mine is depleted!,เหมืองหมดแล้ว!,Tambang sudah habis!,Mine is depleted!,,,"Các bạn thân mến:\n Mỏ của bạn đã được khai thác cạn kiệt và phần thưởng sản lượng %s đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Your mine has been depleted and the output reward of %s has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Your mine has been depleted and the output reward of %s has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Lombong anda telah kehabisan sumber, dan ganjaran hasil %s telah dihantar melalui emel. Sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Naubos na ang minahan mo at ang reward na output na %s ay naipadala na sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Your mine has been depleted and the output reward of %s has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n เหมืองของคุณถูกขุดจนหมด รางวัลผลผลิต %s ได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Tambangmu telah habis dan hadiah hasil produksi %s telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
5,,Admin,Admin,Admin,Admin,Admin,Lombong telah dirampas!,Ninakaw na ang mina!,Mine was looted!,Mine was looted!,เหมืองถูกปล้นแล้ว!,Tambang telah dijarah!,Mine was looted!,,,"Các bạn thân mến:\n Mỏ của bạn đã bị %s tịch thu và phần thưởng đầu ra %s đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Your mine has been confiscated by %s and the output reward of %s has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Your mine has been confiscated by %s and the output reward of %s has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Lombong anda telah dirampas oleh %s, dan ganjaran hasil %s telah dihantar melalui emel. Sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Ang minahan mo ay nasamsam ni %s at ang reward na output na %s ay naipadala na sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Your mine has been confiscated by %s and the output reward of %s has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n เหมืองของคุณถูก %s ยึด และรางวัลผลผลิต %s ได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Tambangmu telah disita oleh %s dan hadiah hasil produksi %s telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
6,,Admin,Admin,Admin,Admin,Admin,Ganjaran Menara,Gantimpala sa Tore,Tower Reward,Tower Reward,รางวัลหอคอย,Hadiah Menara,Tower Reward,,,Các bạn thân mến:\n Màn trình diễn của bạn thật tuyệt vời. Thứ hạng ngày hôm nay trong Tháp Kích thước là %d. Phần thưởng giải quyết đã được gửi qua email. Vui lòng kiểm tra nó kịp thời. \nChúc bạn chơi game vui vẻ!,Dear players:\n Your performance was excellent. Your ranking today in the Dimensional Tower is %d. The settlement reward has been sent via email. Please check it in time. \nEnjoy the game!,Dear players:\n Your performance was excellent. Your ranking today in the Dimensional Tower is %d. The settlement reward has been sent via email. Please check it in time. \nEnjoy the game!,Para pemain yang dihormati:\n Prestasi anda sangat luar biasa. Kedudukan hari ini dalam Menara Dimensi ialah %d. Ganjaran penyelesaian telah dihantar melalui emel. Sila semak dengan segera. \nSelamat bermain!,Minamahal na mga manlalaro:\n Napakahusay ng iyong pagganap. Ang iyong ranggo ngayon sa Dimensional Tower ay %d. Naipadala na ang reward sa email. Pakisuri agad. \nMag-enjoy sa laro!,Dear players:\n Your performance was excellent. Your ranking today in the Dimensional Tower is %d. The settlement reward has been sent via email. Please check it in time. \nEnjoy the game!,เพื่อนๆ ที่รัก:\n การแสดงของคุณยอดเยี่ยมมาก อันดับของคุณวันนี้ในหอคอยมิติ คือ %d รางวัลการจัดอันดับได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Penampilanmu luar biasa. Peringkat hari ini di Menara Dimensi adalah %d. Hadiah penyelesaian telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
7,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Harian,Pang-araw-araw na Login Reward,Daily Login Reward,Daily Login Reward,รางวัลล็อกอินรายวัน,Hadiah Login Harian,Daily Login Reward,{vip=5;rmb=3000;gold=100000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayon. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
8,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Harian,Pang-araw-araw na Login Reward,Daily Login Reward,Daily Login Reward,รางวัลล็อกอินรายวัน,Hadiah Login Harian,Daily Login Reward,{vip=3;rmb=3000;gold=100000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayon. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
