VariableName,key,text,text_vn,text_ma,text_en,text_in,text_th,text_ph
Defaults,"""404404""","""404""","""404""","""404""","""404""","""404""","""404""","""404"""
id,key,text,text,text,text,text,text,text
1,sessionError,Please log in again!,Vui lòng đăng nhập lại!,Sila log masuk semula!,Please log in again!,Silakan login lagi!,กรุณาเข้าสู่ระบบใหม่!  ,Mangyaring mag-login muli!  
2,todayChanllengeToMuch,"Today's challenge limit reached, cannot challenge further!","Thử thách hôm nay đã đạt giới hạn, không thể thử thách thêm!","Had cabaran hari ini telah dicapai, tidak boleh mencuba lagi!","Today's challenge limit reached, cannot challenge further!","Batas tantangan hari ini telah tercapai, tidak bisa menantang lagi!",การท้าทายในวันนี้ถึงขีดจำกัดแล้ว ไม่สามารถท้าทายเพิ่มเติมได้!  ,"Naabot na ang limit ng hamon ngayon, hindi na maaaring hamunin pa!  "
3,advanceGoldNotEnough,"Not enough gold, cannot breakthrough!","Không đủ vàng, không thể đột phá!","Emas tidak mencukupi, tidak boleh melakukan tembus!","Not enough gold, cannot breakthrough!","Tidak cukup emas, tidak bisa melakukan breakthrough!",ทองไม่เพียงพอ ไม่สามารถทะลวงได้!  ,"Walang sapat na ginto, hindi maaring mag-breakthrough!  "
4,advanceItemsNotEnough,"Not enough items, cannot breakthrough!","Đạo cụ không đủ, không thể đột phá!","Alat tidak mencukupi, tidak boleh melakukan tembus!","Not enough items, cannot breakthrough!","Tidak cukup item, tidak bisa melakukan breakthrough!",ไอเทมไม่เพียงพอ ไม่สามารถทะลวงได้!  ,"Walang sapat na item, hindi maaring mag-breakthrough!  "
5,advanceLevelNotEnough,"Level too low, cannot breakthrough!","Cấp độ không đủ, không thể đột phá!","Tahap tidak mencukupi, tidak boleh melakukan tembus!","Level too low, cannot breakthrough!","Level terlalu rendah, tidak bisa melakukan breakthrough!",เลเวลไม่เพียงพอ ไม่สามารถทะลวงได้!  ,"Hindi sapat ang antas, hindi maaring mag-breakthrough!  "
6,advanceFragsNotEnough,"Not enough fragments, cannot ascend!","Mảnh ghép không đủ, không thể tiến cấp!","Serpihan tidak mencukupi, tidak boleh meningkatkan tahap!","Not enough fragments, cannot ascend!","Fragmen tidak cukup, tidak bisa naik level!",ชิ้นส่วนไม่เพียงพอ ไม่สามารถอัปเกรดขั้นได้!  ,"Walang sapat na piraso, hindi maaring i-rank up!  "
7,advanceMaxErr,"Breakthrough to max level reached, please wait for the next update!","Đã đột phá đến cấp cao nhất, xin vui lòng chờ cập nhật phiên bản mới!","Telah mencapai tembus tahap tertinggi, sila tunggu kemas kini baru!","Breakthrough to max level reached, please wait for the next update!","Telah mencapai breakpoint maksimal, harap tunggu update berikutnya!",ทะลวงถึงระดับสูงสุดแล้ว โปรดรออัปเดตเวอร์ชันใหม่!  ,"Naabot na ang pinakamataas na breakthrough, mangyaring hintayin ang bagong update!  "
