VariableName,name,name_vn,name_ma,name_en,name_th,name_in,name_ph,attrMap,res
Defaults,"""""","""""","""""","""""","""""","""""","""""",{},""""""
ID,性格名字,性格名字,性格名字,性格名字,性格名字,性格名字,性格名字_韩,属性加成,资源
1,Impulsive,Nông nổi,Gopoh,Impulsive,ใจร้อน,Ceroboh,Padalos-dalos,,
2,Diligent,Siêng năng,Rajin,Diligent,ขยัน,Rajin,Masipag,,
3,Shy,Nhút nhát,Pemalu,Shy,ขี้อาย,Pemalu,Mahiyain,,
4,Straightforward,Thẳng thắn,Terus terang,Straightforward,ตรงไปตรงมา,Terus terang,Diretsahan,,
5,Serious,Nghiêm túc,Serius,Serious,จริงจัง,Serius,Seryoso,,
6,Cowardly,Nhát gan,Penakut,Cowardly,ขี้ขลาด,Pengecut,Duwag,{7=90%;13=110%},
7,Short-tempered,Nóng nảy,Cepat marah,Short-tempered,หงุดหงิดง่าย,Pemarah,Mainitin ang ulo,{13=110%;9=90%},
8,Cheerful,Sảng khoái,Ceria,Cheerful,สดใส,Ceria,Masigla,{13=110%;8=90%},
9,Naive,Ngây thơ,Naif,Naive,ไร้เดียงสา,Naif,Walang muwang,{13=110%;10=90%},
10,Afraid of being alone,Sợ cô đơn,Takut keseorangan,Afraid of being alone,กลัวความเหงา,Takut kesepian,Takot sa kalungkutan,{7=110%;9=90%},
11,Brave,Dũng cảm,Berani,Brave,กล้าหาญ,Berani,Matapang,{7=110%;13=90%},
12,Stubborn,Cứng đầu,Degil,Stubborn,ดื้อรั้น,Keras kepala,Matigas ang ulo,{7=110%;8=90%},
13,Mischievous,Nghịch ngợm,Nakal,Mischievous,ซุกซน,Nakal,Pilyo,{7=110%;10=90%},
14,Bold,Táo bạo,Berani mencuba,Bold,กล้าหาญ,Berani,Mapangahas,{7=90%;9=110%},
15,Relaxed,Thư thả,Santai,Relaxed,สบาย ๆ,Santai,Relax lang,{13=90%;9=110%},
16,Playful,Tinh nghịch,Nak nakal,Playful,ขี้เล่น,Usil,Malikot,{8=90%;9=110%},
17,Optimistic,Lạc quan,Optimis,Optimistic,มองโลกในแง่ดี,Optimis,Optimistiko,{10=90%;9=110%},
18,Reserved,Kín đáo,Pendiam,Reserved,เก็บตัว,Tertutup,Tahimik,{7=90%;8=110%},
19,Slow,Chậm chạp,Perlahan,Slow,เชื่องช้า,Lambat,Mabagal,{8=110%;9=90%},
20,Calm,Bình tĩnh,Tenang,Calm,ใจเย็น,Tenang,Kalmado,{13=90%;8=110%},
21,Careless,Cẩu thả,Cuai,Careless,สะเพร่า,Sembrono,Pabaya,{8=110%;10=90%},
22,Gentle,Ôn hòa,Lemah lembut,Gentle,อ่อนโยน,Lembut,Maamo,{7=90%;10=110%},
23,Obedient,Ngoan ngoãn,Patuh,Obedient,เชื่อฟัง,Patuh,Masunurin,{10=110%;9=90%},
24,Arrogant,Tự cao,Sombong,Arrogant,หยิ่งยโส,Sombong,Mayabang,{13=90%;10=110%},
25,Cautious,Thận trọng,Berhati-hati,Cautious,รอบคอบ,Hati-hati,Maingat,{8=90%;10=110%},
