VariableName,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,stackMax,expAdd,series,icon,res,startResScale,attr,size,touchSize,relSize,startPos,position,quality,currentNum,languages
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",102,10,5,0,"""""","""""",2,{},{width=1; height=1},<>,{width=1;height=1;off={offWidth=0;offHeight=0}},{x=0; y=0;x2=0;y2=0},5,0,FALSE,<cn;in;tw;en;kr;vn;th;ma;ph>
ID,名字,名字,名字,名字,名字,描述文本,描述文本,描述文本,描述文本,描述文本,分类,最大拥有数量,经验增加,系列,图标,资源,初始资源缩放倍率,资源属性（1、flip 是否可翻转，2、初始位于左面 left，3、初始位于右面right 4、可交互interactivity5、可行走walk）,所占空间(格子为单位),点击响应范围,主要是用于墙上物品绘制选中范围,初始位置偏移量,位置，用于调整顺序,稀有度（1为稀有）,用于数量显示为当前/当前,语言区域
70001,湖蓝格子,湖藍格子,Lake Blue Plaid,Hồ sọc xanh,푸른 칸,平日里最稀松平常的样式，充满了生活气息,平日里最稀松平常的样式，充满了生活气息,,Phong cách thường ngày nhất. tràn đầy hơi thở cuộc sống,,101,1,,101,config/item/furniture/icon_diban.png,city/town/furniture/floor70001.tmx,,{maxNum=30;k=0.5;minScale=0.4;maxScale=0.9},{x=6;wallHeight=5;y=6;width=18;height=18},,,,,,,
70501,简约格子-蓝,,,Lưới đơn giản - màu xanh,,以静谧而清新的蓝色为主调，棉麻的材料给地毯带来柔软的触感,,,Với tông màu xanh trầm lắng và tươi mát làm chủ đạo. chất liệu cotton và linen mang đến nét mềm mại cho tấm thảm,,,,,102,config/item/furniture/icon_ditan.png,city/town/furniture/img_ditan.png,,{flip=True},{width=5;height=4},<<1;121>;<200;220>;<434;101>;<241;2>>,,{y=0;x=-480},,,,
70502,简约格子-白,,,Lưới đơn giản - trắng,,以简单的纯白色为主调，棉麻的材料给地毯带来柔软的触感,,,Với tông màu trắng tinh khôi đơn giản làm chủ đạo. chất liệu cotton và linen mang lại nét mềm mại cho tấm thảm,,,,,104,config/item/furniture/icon_ditan2.png,city/town/furniture/img_ditan2.png,,{flip=True},{width=6;height=4},<<0;110>;<222;1>;<366;76>;<145;183>>,,{y=16;x=-447},,,,
70503,精灵球地毯,,,Thảm bóng chọc,,是一张圆形地毯，样式和训练家们用的精灵球一模一样,,,Đó là một tấm thảm hình tròn. kiểu dáng giống hệt như những quả bóng Ninja mà các Nhẫn Giả sử dụng,,,,,,config/item/furniture/icon_ditan1.png,city/town/furniture/img_ditan1.png,,{flip=True},{width=4;height=4},<<118;112>;<4;73>;<43;14>;<189;15>;<214;78>>,,{y=48;x=-225},,,,
71001,湖蓝墙纸,湖藍牆紙,,Hình nền hồ xanh,푸른 벽지,平日里最稀松平常的样式，充满了生活气息,平日里最稀松平常的样式，充满了生活气息,,Phong cách thường ngày nhất. tràn đầy hơi thở cuộc sống,,201,1,,102,config/item/furniture/icon_qiangzhi.png,city/town/furniture/wall71001.tmx,,,{width=12;height=5},,,,,,,
71501,碗碟放置柜,,,Tủ đựng bát đĩa,,采用壁挂的方式，更方便拿取，也节省了空间,,,Phương pháp treo tường thuận tiện hơn để lấy và tiết kiệm không gian,,202,,,108,config/item/furniture/icon_chugui2.png,city/town/furniture/img_chugui2.png,,{right=True;flip=True},{width=4;height=2},<<5;68>;<0;114>;<42;128>;<158;91>;<182;51>;<164;4>>,,{y=0;x=-385},,,,
71502,杂物壁挂柜,,,Tủ âm tường đựng đồ lặt vặt,,小小的柜子，可是能容纳不少东西的,,,Tủ nhỏ nhưng đựng được rất nhiều đồ,,202,,,108,config/item/furniture/icon_chugui3.png,city/town/furniture/img_chugui3.png,,{flip=True;left=True},{width=2;height=2},<<0;57>;<3;10>;<65;9>;<97;28>;<96;73>;<66;86>>,,{y=0;x=0},,,,
72001,阳光窗台,,,Bậu cửa sổ đầy nắng,,皮卡丘表示很喜欢站在这里晒太阳,,,Pikachu nói rằng nó thích đứng đây và tắm nắng,,203,,,107,config/item/furniture/icon_chuanghu1.png,city/town/furniture/img_chuanghu1.png,,{right=True;flip=True},{width=3;height=5},<<0;50>;<108;7>;<114;178>;<2;232>>,,{y=12;x=-240},,,,
72002,铁质大门,,,cổng sắt,,非常厚实的铁质大门，门上还用了精灵贴纸进行装饰,,,Một cánh cổng sắt rất dày được trang trí bằng hình dán yêu tinh,,203,,,,config/item/furniture/icon_damen.png,city/town/furniture/img_damen.png,,{right=True;flip=True},{width=3;height=5},<<4;43>;<86;3>;<87;180>;<24;216>;<0;200>>,,{y=17;x=-222},,,,
72003,木质窗户,,,Cửa sổ bằng gỗ,,一扇小窗户，不带窗帘的设计可以使阳光更好的透进小屋内,,,Một ô cửa sổ nhỏ. được thiết kế không có rèm che để ánh nắng xuyên vào cabin tốt hơn,,203,,,104,config/item/furniture/icon_chuanghu.png,city/town/furniture/img_chuanghu.png,,{flip=True;left=True},{width=2;height=3},<<5;4>;<2;100>;<30;131>;<55;120>;<57;30>>,,{y=18;x=20},,,,
72501,手绘小智挂像,,,Tượng treo Xiaozhi vẽ tay,,这可能是小智实现梦想之后笑容满面的样子吧,,,Đây có thể là khuôn mặt tươi cười của Xiaozhi sau khi thực hiện được ước mơ của mình,,204,,,101,config/item/furniture/icon_xiangkuang.png,city/town/furniture/img_xiangkuang.png,,{flip=True;left=True},{width=1;height=2},<<25;8>;<1;6>;<1;52>;<23;50>>,,{y=40;x=-13},,,,
74001,聚餐长桌,,,Bàn ăn dài,,是一张很长长长的餐桌，可以容纳你的所有好友,,,Đó là một bàn ăn rất dài có thể chứa tất cả bạn bè của bạn,,301,,,102,config/item/furniture/icon_zhuozi.png,city/town/furniture/img_zhuozi.png,,{flip=True;left=True},{width=4;height=2},<<168;9>;<187;81>;<121;130>;<34;139>;<2;67>;<112;10>>,,{y=25;x=-280},,,,
74002,实木茶几,,,Bàn cà phê gỗ nguyên khối,,款式非常大气，适合大区域的小屋摆放使用,,,Phong cách rất khí chất. thích hợp sử dụng cho nhà nhỏ diện tích lớn,,301,,,107,config/item/furniture/icon_chugui.png,city/town/furniture/img_chugui.png,,{flip=True},{width=5;height=2},<<64;159>;<194;103>;<242;49>;<171;3>;<5;118>>,,{y=20;x=-363},,,,
74003,实木圆桌,,,Bàn tròn gỗ nguyên khối,,围着圆桌吃火锅，大概是最幸福的事情了,,,Ăn lẩu quanh chiếc bàn tròn có lẽ là điều hạnh phúc nhất,,301,,,,config/item/furniture/icon_chaji.png,city/town/furniture/img_chaji.png,,{flip=True},{width=2;height=2},<<8;18>;<1;62>;<45;101>;<88;59>;<81;10>>,,{y=28;x=-88},,,,
