VariableName,name_cn,name,name_vn,name_my,name_en,name_th,name_in,name_ph,isWorldEnter,chapterType,res,baseMap,describe,ownerId,openLevel,seq,heroMapId,nightmareMapId,starAwardConds,starAwardIDs
Defaults,,,,,,,,,FALSE,,,,,,,<>,,,,
ID,名称,名称_越南,名称_越南,名称_越南,名称_越南,名称_越南,名称_越南,名称_越南,是否是世界入口点,章节类型1:普通2:精英3:噩梦,资源,场景地图,描述,所属世界,开放等级,索引序列,开启精英,开启噩梦,星级奖励数量序列,星级奖励ID序列
1,,,,,,,,,TRUE,,SJDT_1.json,,,,1,<11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36>,,,,
11,,A world in turmoil  ,Thế giới biến động,Dunia yang bergolak  ,A world in turmoil  ,โลกที่แปรปรวน  ,Dunia yang bergejolak  ,Magulong mundo  ,,1,GKDT_ptgk1.json,city/gate/map/img_1.png,,1,1,<10101;10102;10103;10104;10105>,111,211,<0;6;15>,<0;1111;1112>
12,,A desolate land  ,Một vùng hoang tàn,Sebuah tanah terbiar  ,A desolate land  ,ดินแดนรกร้าง  ,Sebuah tanah tandus  ,Isang lupang abandonado  ,,1,GKDT_ptgk2.json,city/gate/map/img_2.png,,1,1,<10201;10202;10203;10204;10205;10206>,112,212,<0;9;18>,<0;1121;1122>
13,,Starting over  ,Bắt đầu lại từ đầu,Mulakan dari awal  ,Starting over  ,เริ่มต้นใหม่  ,Mulai dari awal  ,Magsimulang muli  ,,1,GKDT_ptgk3.json,city/gate/map/img_3.png,,1,1,<10301;10302;10303;10304;10305;10306;10307;10308>,113,213,<8;16;24>,<1131;1132;1133>
14,,Continuing the journey  ,Tiếp tục hành trình,Teruskan perjalanan  ,Continuing the journey  ,เดินทางต่อไป  ,Melanjutkan perjalanan  ,Ipagpatuloy ang paglalakbay  ,,1,GKDT_ptgk4.json,city/gate/map/img_4.png,,1,1,<10401;10402;10403;10404;10405;10406;10407;10408>,114,214,<8;16;24>,<1141;1142;1143>
15,,Layered hardships  ,Khó khăn chồng chất,Kesusahan bertimpa-timpa  ,Layered hardships  ,อุปสรรคมากมาย  ,Kesulitan bertumpuk  ,Sunod-sunod na paghihirap  ,,1,GKDT_ptgk5.json,city/gate/map/img_5.png,,1,1,<10501;10502;10503;10504;10505;10506;10507;10508;10509;10510>,115,215,<10;20;30>,<1151;1152;1153>
16,,Spiritual cleansing  ,Rửa tội tinh thần,Penyucian rohani  ,Spiritual cleansing  ,ชำระจิตวิญญาณ  ,Pemurnian spiritual  ,Paglilinis ng espiritu  ,,1,GKDT_ptgk6.json,city/gate/map/img_6.png,,1,26,<10601;10602;10603;10604;10605;10606;10607;10608;10609;10610>,116,216,<10;20;30>,<1161;1162;1163>
17,,Emotional trauma  ,Chấn thương tâm hồn,Luka jiwa  ,Emotional trauma  ,บาดแผลทางใจ  ,Luka batin  ,Sugatang kaluluwa  ,,1,GKDT_ptgk7.json,city/gate/map/img_7.png,,1,30,<10701;10702;10703;10704;10705;10706;10707;10708;10709;10710>,117,217,<10;20;30>,<1171;1172;1173>
18,,Returning to the old land  ,Quay lại vùng đất cũ,Kembali ke tanah lama  ,Returning to the old land  ,ย้อนกลับสู่แผ่นดินเดิม  ,Kembali ke tanah lama  ,Bumalik sa dating lupain  ,,1,GKDT_ptgk8.json,city/gate/map/img_8.png,,1,33,<10801;10802;10803;10804;10805;10806;10807;10808;10809;10810>,118,218,<10;20;30>,<1181;1182;1183>
19,,Saving the soul  ,Cứu rỗi linh hồn,Menyelamatkan jiwa  ,Saving the soul  ,ไถ่บาปวิญญาณ  ,Menyelamatkan jiwa  ,Kaligtasan ng kaluluwa  ,,1,GKDT_ptgk9.json,city/gate/map/img_9.png,,1,37,<10901;10902;10903;10904;10905;10906;10907;10908;10909;10910>,119,219,<10;20;30>,<1191;1192;1193>
20,,Making travel companions  ,Kết bạn đồng hành,Bersahabat dalam perjalanan  ,Making travel companions  ,สร้างมิตรสหาย  ,Berteman dalam perjalanan  ,Magkaibigang kasama  ,,1,GKDT_ptgk10.json,city/gate/map/img_10.png,,1,40,<11001;11002;11003;11004;11005;11006;11007;11008;11009;11010>,120,220,<10;20;30>,<1201;1202;1203>
21,,A new home  ,Ngôi nhà mới,Rumah baharu  ,A new home  ,บ้านหลังใหม่  ,Rumah baru  ,Bagong tahanan  ,,1,GKDT_ptgk11.json,city/gate/map/img_11.png,,1,45,<11101;11102;11103;11104;11105;11106;11107;11108;11109;11110>,121,221,<10;20;30>,<1211;1212;1213>
22,,Strong enemies attack  ,Kẻ thù mạnh mẽ tấn công,Musuh yang kuat menyerang  ,Strong enemies attack  ,ศัตรูที่แข็งแกร่งโจมตี  ,Musuh kuat menyerang  ,Malakas na kalaban ang umatake  ,,1,GKDT_ptgk12.json,city/gate/map/img_12.png,,1,50,<11201;11202;11203;11204;11205;11206;11207;11208;11209;11210>,122,222,<10;20;30>,<1221;1222;1223>
23,,Tactical transfer  ,Chuyển giao chiến thuật,Pertukaran taktik  ,Tactical transfer  ,แลกเปลี่ยนกลยุทธ์  ,Pertukaran taktik  ,Palitan ng taktika  ,,1,GKDT_ptgk13.json,city/gate/map/img_13.png,,1,55,<11301;11302;11303;11304;11305;11306;11307;11308;11309;11310>,123,223,<10;20;30>,<1231;1232;1233>
24,,Acting together  ,Cùng nhau hành động,Bertindak bersama  ,Acting together  ,ลงมือร่วมกัน  ,Bertindak bersama  ,Kumilos ng magkakasama  ,,1,GKDT_ptgk13.json,city/gate/map/img_14.png,,1,60,<11401;11402;11403;11404;11405;11406;11407;11408;11409;11410>,124,224,<10;20;30>,<1241;1242;1243>
25,,Ideal land  ,Vùng đất lý tưởng,Tanah impian  ,Ideal land  ,ดินแดนในฝัน  ,Tanah impian  ,Lupang pangarap  ,,1,GKDT_ptgk13.json,city/gate/map/img_15.png,,1,65,<11501;11502;11503;11504;11505;11506;11507;11508;11509;11510>,125,225,<10;20;30>,<1251;1252;1253>
26,,Difficult path  ,Đường đi gian nan,Jalan yang sukar  ,Difficult path  ,หนทางที่ยากลำบาก  ,Jalan yang sulit  ,Mahirap na daan  ,,1,GKDT_ptgk13.json,city/gate/map/img_9.png,,1,70,<11601;11602;11603;11604;11605;11606;11607;11608;11609;11610>,126,226,<10;20;30>,<1261;1262;1263>
27,,Collapsing situation  ,Tình thế sụp đổ,Keadaan runtuh  ,Collapsing situation  ,สถานการณ์ล่มสลาย  ,Situasi runtuh  ,Pagkawasak ng sitwasyon  ,,1,GKDT_ptgk13.json,city/gate/map/img_10.png,,1,75,<11701;11702;11703;11704;11705;11706;11707;11708;11709;11710>,127,227,<10;20;30>,<1271;1272;1273>
