VariableName,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_ma,talkContent_en,talkContent_th,talkContent_ph,talkContent_in,talkContent_vn,topTalk,topTalk_ma,topTalk_en,topTalk_th,topTalk_ph,topTalk_in,topTalk_vn,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName_cn,roleName_tw,roleName,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
Defaults,,0,0,0,FALSE,FALSE,,0,,2,<>,<>,1,,,,<>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,0,0,,,,"""""","""""","""""","""""","""""",,<>,,0,,FALSE,
ID,备注,触发时间,持续时间,是否自动跳过,是否显示跳过按钮;显示到下一个FALSE为止,是否首次关卡怪,结束标示(自动判定; 废弃),剧情类型0:普通1:主动技能引导2:点击引导3:小技能引导4:连击点击引导5:连击1引导6:连击2引导7:友军支援8:不再有普攻9:只是弹框对话10:选择敌方引导11:敌方某单位逃跑,引导参数（未使用）,表现样式（1、引导员，2剧情对话， 3、top角色说话）,选项组(仅对showType=1和2时生效),跳转剧情,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段>0为自身训练家形象名字其他读取形象表 字段不填则读res,unitID,对话角色额外偏移位置,选项字段<<内容>;...>,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,头顶对话,头顶对话,头顶对话,头顶对话,头顶对话,头顶对话,头顶对话,头顶对话坐标,头顶对话框微调x坐标,头顶对话框微调y坐标,播放视频,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,任意位置取消（样式1）,明亮的地方（样式1）
101,,,2000,,,,,,,,,,,,,,,"The heavens are in calamity, time and space are collapsing, the multiverse descends into chaos!","Langit dan bumi hancur, ruang masa runtuh, multiverse menjadi kacau-bilau!  ","The heavens are in calamity, time and space are collapsing, the multiverse descends into chaos!",ท้องฟ้าเกิดหายนะ มิติเวลาถูกทำลาย พหุจักรวาลตกอยู่ในความโกลาหล!,"Kalagitnaan ng kaguluhan ng mga diyos at panahon, ang oras at espasyo ay gumuho, ang multiverse ay naging isang kaguluhang walang katulad!  ","Langit runtuh, ruang-waktu hancur, multisemesta berada dalam kekacauan!  ","Chư thiên hạo kiếp, thời không băng hoại, đa nguyên vũ trụ một mảnh hỗn loạn!",,,,,,,,,,,,,,,,Will of the Stars - The Star,Ý chí quần tinh - Tinh Tể,,,,,,,,
102,,2000,4000,,,,,,,,,,,,,,,"Countless space portals link to the Shinobi Realm, and endless heroes have crossed dimensions to arrive!","Tak terhitung pintu ruang angkasa menghubungkan Dunia Shinobi, para wira tanpa henti menyeberangi dunia dan datang!","Countless space portals link to the Shinobi Realm, and endless heroes have crossed dimensions to arrive!",ประตูมิติจำนวนมากเชื่อมต่อกับโลกนินจา เหล่าฮีโร่มากมายจากต่างโลกได้เดินทางข้ามมิติ!,"Walang katapusang mga espasyo portal ang nag-uugnay sa Mundo ng mga Ninja, at walang katapusang mga bayani ang tumawid mula sa iba't ibang mundo!","Tak terhitung gerbang ruang yang terhubung ke Dunia Ninja, para pahlawan tak berujung telah melintasi dunia dan tiba!  ","Vô số cổng không gian kết nối Nhẫn Giới, vô tận anh hùng đã vượt giới mà đến!",,,,,,,,,,,,,,,,Will of the Stars - The Star,Ý Chí Ngôi Sao - Tinh Tể,,,,,,,,
111,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,1000,2000,,,,,,,,,,,<401>,,,,They're causing havoc everywhere—what the heck is going on?!,"Mereka mengacau di mana-mana, sebenarnya apa yang sedang berlaku ini?!  ",They're causing havoc everywhere—what the heck is going on?!,พวกมันก่อความวุ่นวายไปทั่ว เกิดอะไรขึ้นกันแน่เนี่ย!,"Nagwawala sila kahit saan, ano ba talaga ang nangyayari?  ","Mereka buat kacau merata-rata, sebenarnya ada apa ni!","Bọn này phá phách khắp nơi, rốt cuộc là chuyện gì vậy!",,,,,,,,,,,,,,,,,,,,,,,,,
113,,3000,2000,,,,,,,,,,,<402>,,,,"Damn it, those green-skinned monsters… are they heroes from another world?","Menjengkelkan betul, makhluk hijau ini... adakah mereka wira dari dunia lain?  ","Damn it, those green-skinned monsters… are they heroes from another world?",น่ารังเกียจจริง ๆ ไอ้พวกสัตว์ประหลาดสีเขียวพวกนี้ พวกมันเป็นฮีโร่จากต่างโลกเหรอ?,Nakakainis! Ang mga berdeng halimaw na ito—sila ba ang tinatawag na mga bayani mula sa ibang mundo?  ,Menjengkelkan! Monster hijau menjijikkan ini... apakah mereka pahlawan dari dunia lain?  ,"Đáng ghét, lũ quái vật xanh lè này, chúng là anh hùng của dị giới sao?",,,,,,,,,,,,,,,,,,,,,,,,,
114,,5000,2000,,,,,,,,,,,<403>,,,,"No! They're just pitiful souls who lost their minds after failed dimensional travel. Be careful, they're coming!","Tidak! Mereka hanyalah makhluk malang yang hilang ingatan akibat kegagalan menyeberangi ruang! Hati-hati, mereka datang!  ","No! They're just pitiful souls who lost their minds after failed dimensional travel. Be careful, they're coming!",ไม่ใช่! พวกมันเป็นแค่พวกโชคร้ายที่เสียสติจากการข้ามมิติที่ล้มเหลว ระวังนะ พวกมันมาแล้ว!,"Hindi! Sila’y mga kaawa-awang nilalang na nawalan ng katinuan dahil nabigo sa paglalakbay sa ibang dimensyon. Mag-ingat, papalapit na sila!  ",Tidak! Mereka hanyalah makhluk malang yang kehilangan akal karena gagal menembus dimensi!  ,"Không! Đây chỉ là những kẻ đáng thương bị mất trí do xuyên không thất bại, cẩn thận, chúng đến rồi!",,,,,,,,,,,,,,,,,,,,,,,,,
115,,7000,2000,,,,,,,,,,2,<404>,,,,Hungry... hungry... hungry!!!,Lapar... lapar... LAPAR!!!  ,Hungry... hungry... hungry!!!,หิว... หิว... หิว!!!,Gutom... gutom... gutom!!!  ,"Hati-hati, mereka datang!  ",Đói... đói... đói!!!,,,,,,,,,,,,,,,,,,,,,,,,,
116,,9000,2000,,,,,,,,,,,<403>,,,,Take them down quickly—the whole village is still waiting for us!,"Cepat habisi mereka, seluruh kampung masih menunggu kita!  ",Take them down quickly—the whole village is still waiting for us!,รีบจัดการให้เร็วเข้า ทั้งหมู่บ้านยังรอเราอยู่!,Labanan natin sila agad! Ang buong nayon ay naghihintay sa atin!  ,"Serang cepat, menang cepat, seluruh desa masih menunggu kita!  ","Đánh nhanh thắng nhanh, cả làng còn đang đợi chúng ta!",,,,,,,,,,,,,,,,,,,,,,,,,
