VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
Defaults,,0,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,
ID,问题类型索引id,同组内随机权重,组,问题描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,选项1,选项1,选项1,选项1,选项1,选项1,选项1,选项2,选项2,选项2,选项2,选项2,选项2,选项2,选项3,选项3,选项3,选项3,选项3,选项3,选项3,选项4,选项4,选项4,选项4,选项4,选项4,选项4,答案,资源
1,1,50,101,"In the anime, what was the first Pokémon Ash received?  ","Trong anime, Pokémon đầu tiên mà Ash nhận được là gì?","In the anime, what was the first Pokémon Ash received?  ",ในอนิเมะ โปเกมอนตัวแรกที่ Ash ได้รับคืออะไร?  ,"Dalam anime, Pokémon pertama yang diterima Ash adalah apa?  ","Sa anime, ano ang unang Pokémon na natanggap ni Ash?  ","Dalam anime, apakah Pokémon pertama yang diterima oleh Ash?",Pikachu,Pikachu,Pikachu  ,ปิกาจู  ,Pikachu  ,Pikachu  ,Pikachu  ,Little Flame,Cháy lửa nhỏ,Little Flame,เปลวไฟน้อย,Api Kecil,Maliit na Apoy  ,Api Kecil  ,Newcomer Award,Giải thưởng Tân vương,Newcomer Award,รางวัลหน้าใหม่,Penghargaan Pendatang Baru,Gantimpala sa Bagong Salta,Anugerah Pendatang Baru,Miraculous Seed Frog  ,Diệu con ếch hạt giống,Miraculous Seed Frog  ,กบเมล็ดวิเศษ  ,Kodok Benih Ajaib  ,Miraculous Seed Frog  ,Katak Benih Ajaib  ,,
2,1,50,101,"In the anime, what is Ash's mother's name?  ","Trong anime, mẹ của Ash tên là gì?","In the anime, what is Ash's mother's name?  ",ในอนิเมะ ชื่อแม่ของ Ash คืออะไร?  ,"Dalam anime, siapa nama ibu Ash?  ","Sa anime, ano ang pangalan ng ina ni Ash?  ","Dalam anime, siapakah nama ibu Ash?",Hoa Tử,Hoa Tử,Flower Child  ,ดอกไม้แห่งความบริสุทธิ์  ,Anak Bunga  ,Batang Bulaklak  ,Batang Bunga  ,My Tân Tử,Mỹ Tân Tử,My Tân Tử,หมีตันจื่อ,My Tan Zi,My Tanzi  ,My Tanzi  ,Satoshi,Satoshi,Satoshi,ซาโตชิ,Satoshi,Satoshi,Satoshi,Lu Toa Rice Nai  ,Lộ Toa gạo nại,Lu Toa Rice Nai  ,ลู โตวา ข้าวไน  ,Lu Toa Beras Nai  ,Lu Toa Rice Nai  ,Lu Toa Beras Nai  ,,
3,1,50,101,"In the anime, which girl below does not like Ash?  ","Trong anime, cô gái nào dưới đây không thích Ash?","In the anime, which girl below does not like Ash?  ",ในอนิเมะ สาวคนไหนด้านล่างไม่ชอบ Ash?  ,"Dalam anime, gadis mana di bawah ini yang tidak menyukai Ash?  ","Sa anime, alin sa mga babaeng ito ang hindi gusto si Ash?  ","Dalam anime, gadis manakah di bawah ini yang tidak menyukai Ash?",Musashi,Musashi,Musashi  ,มูซาชิ  ,Musashi  ,Musashi  ,Musashi  ,Xiao He,Tiểu Hà,Xiao He,เซียวเหอ,Xiao He,Xiao He  ,Xiao He  ,Splendid,Cẩm Tú,Splendid,งดงาม,Indah Mempesona,Kahanga-hanga,Cantik Menawan,Sally Na  ,Sally na,Sally Na  ,แซลลี นา  ,Sally Na  ,Sally Na  ,Sally Na  ,,
4,1,50,101,"In the anime, Brock used to be a gym leader like his father, what is the name of that gym?  ","Trong anime, Brock đã từng là trưởng phòng gym giống như cha anh, phòng gym đó tên gì?","In the anime, Brock used to be a gym leader like his father, what is the name of that gym?  ",ในอนิเมะ Brock เคยเป็นหัวหน้าฟิตเนสเหมือนพ่อของเขา ชื่อฟิตเนสนั้นคืออะไร?  ,"Dalam anime, Brock pernah menjadi pemimpin gym seperti ayahnya, nama gym itu apa?  ","Sa anime, si Brock ay naging gym leader tulad ng kanyang ama, ano ang pangalan ng gym na iyon?  ","Dalam anime, Brock pernah menjadi ketua gim seperti ayahnya, apakah nama gim itu?",Đấu trường Đá xám,Đấu trường Đá xám,Gray Stone Arena  ,สนามประลองหินสีเทา  ,Arena Batu Abu-abu  ,Arena ng Abong Bato  ,Arena Batu Berabu  ,Hòa Lam Dojo,Hòa Lam Đạo Quán,Hòa Lam Dojo,สำนักเต๋าฮัวลาน,Dojo Hua Lam,Dojo ng Hòa Lam  ,Dojo Hòa Lam  ,Beloved Forest,Rừng Yêu Thích,Beloved Forest,ป่าที่ชื่นชอบ,Hutan Favorit,Paboritong Gubat,Hutan Kegemaran,Dry Leaf Tao Temple  ,Lá khô đạo quán,Dry Leaf Tao Temple  ,ใบไม้แห้งวัดเต๋า  ,Daun Kering Kuil Tao  ,Dry Leaf Tao Temple  ,Daun Kering Kuil Tao  ,,
5,1,50,101,"In the anime, who is the ""kid"" that Team Rocket usually refers to?  ","Trong anime, tên ""nhóc con"" mà Team Rocket thường dùng để chỉ ai?","In the anime, who is the ""kid"" that Team Rocket usually refers to?  ","ในอนิเมะ คำว่า ""เด็กน้อย"" ที่ทีมร็อคเก็ตใช้หมายถึงใคร?  ","Dalam anime, ""anak kecil"" yang sering disebut oleh Team Rocket adalah siapa?  ","Sa anime, sino ang ""batang lalaki"" na madalas tawagin ng Team Rocket?  ","Dalam anime, gelaran ""budak kecil"" yang sering digunakan oleh Team Rocket merujuk kepada siapa?",Ash,Ash,Ash  ,แอช  ,Ash  ,Ash  ,Ash  ,Xiao Gang,Tiểu Cương,Xiao Gang,เซียวกัง,Xiao Gang,Xiao Gang  ,Xiao Gang  ,Mermaid,Nàng tiên cá,Mermaid,นางเงือก,Putri Duyung,Sirena,Duyung,Pikachu  ,Pikachu,Pikachu  ,ปิกาจู  ,Pikachu  ,Pikachu  ,Pikachu  ,,
6,1,50,102,"In the anime, what was the first Pokémon Jessie received in the Johto region?  ","Trong anime, Pokémon đầu tiên mà Jessie nhận được ở vùng Johto là gì?","In the anime, what was the first Pokémon Jessie received in the Johto region?  ",ในอนิเมะ โปเกมอนตัวแรกที่ Jessie ได้รับในภูมิภาคโจโตะคืออะไร?  ,"Dalam anime, Pokémon pertama yang diterima Jessie di wilayah Johto adalah apa?  ","Sa anime, ano ang unang Pokémon na natanggap ni Jessie sa rehiyon ng Johto?  ","Dalam anime, apakah Pokémon pertama yang diterima oleh Jessie di rantau Johto?",Quả nhiên Ông,Quả nhiên Ông,"As Expected, Sir  ",แน่นอนครับท่าน  ,"Tentu Saja, Pak  ","Siyempre, Ginoo  ","Sudah tentu, Tuan  ",Big Blade,Đại Lưỡi,Big Blade,ใบมีดใหญ่,Bilah Besar,Malaking Talim  ,Pedang Besar  ,Star Loach,Cá chạch sao biển,Star Loach,ปลาดาวลูช,Ikan Loach Bintang,Bituing Loach,Ikan Loach Bintang,Meo Meo  ,Meo meo,Meo Meo  ,เมียว เมียว  ,Meo Meo  ,Meo Meo  ,Meo Meo  ,,
7,1,50,102,"In the anime, which statement about Musashi is false?  ","Trong anime, câu nói nào về Musashi là sai?","In the anime, which statement about Musashi is false?  ",ในอนิเมะ ข้อใดเกี่ยวกับ Musashi ไม่ถูกต้อง?  ,"Dalam anime, pernyataan mana tentang Musashi yang salah?  ","Sa anime, alin sa mga pahayag tungkol kay Musashi ang mali?  ","Dalam anime, pernyataan manakah tentang Musashi yang salah?",Từ nhỏ được nuôi trong môi trường sung sướng,Từ nhỏ được nuôi trong môi trường sung sướng,Raised in luxury since childhood  ,เติบโตมาอย่างสุขสบาย  ,Dibesarkan dalam kemewahan sejak kecil  ,Lumaki sa marangyang kapaligiran  ,Dibesarkan dalam persekitaran mewah  ,Born into the Rocket Clan,Sinh ra trong gia tộc tên lửa,Born into the Rocket Clan,เกิดในตระกูลจรวด,Lahir dari klan roket,Ipinanganak sa angkan ng Rocket  ,Dilahirkan dalam keluarga Rocket  ,Once dreamed of becoming a Pokémon nurse,Từng hy vọng trở thành một nữ y tá Pokémon,Once dreamed of becoming a Pokémon nurse,เคยใฝ่ฝันอยากเป็นพยาบาลโปเกมอน,Pernah bermimpi menjadi perawat Pokémon,Minsang nangarap maging Pokémon nurse,Pernah bercita-cita menjadi jururawat Pokémon,Former TV Host  ,Từng làm qua đài truyền hình dẫn chương trình,Former TV Host  ,เคยเป็นพิธีกรโทรทัศน์  ,Pernah Jadi Pembawa Acara TV  ,Former TV Host  ,Pernah Menjadi Pembawa Acara TV  ,,
8,1,50,102,"In the anime, which statement about Team Rocket is false?  ","Trong anime, câu nói nào về Team Rocket là sai?","In the anime, which statement about Team Rocket is false?  ",ในอนิเมะ ข้อใดเกี่ยวกับทีมร็อคเก็ตไม่ถูกต้อง?  ,"Dalam anime, pernyataan mana tentang Team Rocket yang salah?  ","Sa anime, alin sa mga pahayag tungkol sa Team Rocket ang mali?  ","Dalam anime, pernyataan manakah tentang Team Rocket yang salah?",Đội Rocket ban đầu được sáng lập bởi Sakaki,Đội Rocket ban đầu được sáng lập bởi Sakaki,Team Rocket was originally founded by Sakaki  ,ทีมร็อกเก็ตก่อตั้งโดยซาคากิ  ,Tim Rocket awalnya didirikan oleh Sakaki  ,Itinatag ang Team Rocket ni Sakaki  ,Team Rocket diasaskan oleh Sakaki  ,A publicly listed company,Một công ty cổ phần niêm yết,A publicly listed company,บริษัทมหาชน,Perusahaan publik,Isang kumpanyang nakalista sa stock exchange  ,Syarikat tersenarai dalam bursa saham  ,Multinational Corporation,"Tập đoàn đa quốc gia, xuyên vùng",Multinational Corporation,บริษัทยักษ์ข้ามชาติ,Perusahaan Multinasional,Multinational na Kumpanya,Syarikat Multinasional,Because each team member provides complete welfare benefits  ,Vì mỗi một vị đội viên cung cấp hoàn thiện phúc lợi đãi ngộ,Because each team member provides complete welfare benefits  ,เพราะสมาชิกแต่ละคนให้สวัสดิการครบถ้วน  ,Karena setiap anggota tim menyediakan kesejahteraan lengkap  ,Because each team member provides complete welfare benefits  ,Karena setiap anggota tim menyediakan kesejahteraan lengkap  ,,
