VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,gateID,firstAward,repeatAward,challengeAward,killAward,desc_cn,desc_tw,desc_vn,desc,desc_en,desc_th,desc_in,desc_ph,desc_ma
Defaults,"""""","""""","""""","""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""","""""","""""","""""","""""","""""",""""""
公会副本ID,副本名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,desc_vn,特性介绍,desc_en,desc_th,desc_in,desc_ph,desc_ma
1,Pipeline Worker  ,Đường ống công,Pipeline Worker  ,คนงานท่อ  ,Pekerja Pipa  ,Manggagawa ng Tubo  ,Pekerja Paip  ,1000,{932=20;5000=20;19=2},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Công nhân ống dẫn dường như đã có được sức mạnh mạnh mẽ hơn.,The pipeline worker seems to have gained great power.  ,The pipeline worker seems to have gained great power.  ,คนงานท่อดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Pekerja pipa tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan ang manggagawa ng tubo.  ,Pekerja paip nampaknya telah mendapat kuasa hebat.  
2,Chris  ,Chris,Chris  ,Chris  ,Chris  ,Chris  ,Chris  ,1001,{932=20;5000=20;519=1},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Chris dường như đã có được sức mạnh mạnh mẽ hơn.,Chris seems to have gained great power.  ,Chris seems to have gained great power.  ,Chris ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Chris tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Chris.  ,Chris nampaknya telah mendapat kuasa hebat.  
3,Fat Tiger  ,Béo hổ,Fat Tiger  ,เสืออ้วน  ,Harimau Gemuk  ,Matabang Tigre  ,Harimau Gemuk  ,1002,{502=1;932=25;5000=25},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Hổ mập dường như đã có được sức mạnh mạnh mẽ hơn.,Fat Tiger seems to have gained great power.  ,Fat Tiger seems to have gained great power.  ,เสืออ้วนดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Harimau Gemuk tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Matabang Tigre.  ,Harimau Gemuk nampaknya telah mendapat kuasa hebat.  
4,Iron-Blooded Warrior  ,Thiết huyết chiến sĩ,Iron-Blooded Warrior  ,นักรบเลือดเหล็ก  ,Prajurit Berdarah Baja  ,Mandirigmang Bakal-Dugo  ,Pahlawan Berdarah Besi  ,1003,{932=25;rmb=100;5000=25},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Chiến binh sắt dường như đã có được sức mạnh mạnh mẽ hơn.,Iron Warrior seems to have gained great power.  ,Iron Warrior seems to have gained great power.  ,นักรบเหล็กดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Prajurit Besi tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Iron Warrior.  ,Pahlawan Besi nampaknya telah mendapat kuasa hebat.  
5,Gandalf  ,Gandalf,Gandalf  ,Gandalf  ,Gandalf  ,Gandalf  ,Gandalf  ,1004,{932=30;501=1;5000=30},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Gandalf dường như đã có được sức mạnh mạnh mẽ hơn.,Gandalf seems to have gained great power.  ,Gandalf seems to have gained great power.  ,Gandalf ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Gandalf tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Gandalf.  ,Gandalf nampaknya telah mendapat kuasa hebat.  
6,Thor  ,Lôi Thần,Thor  ,ธอร์  ,Dewa Petir  ,Thor  ,Thor  ,1005,{932=30;5000=30;19=2},{932=10;951=1;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Thor dường như đã có được sức mạnh mạnh mẽ hơn.,Thor seems to have gained great power.  ,Thor seems to have gained great power.  ,Thor ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Thor tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Thor.  ,Thor nampaknya telah mendapat kuasa hebat.  
7,Superman  ,Siêu nhân,Superman  ,ซูเปอร์แมน  ,Superman  ,Superman  ,Superman  ,1006,{932=35;5000=35;519=1},{932=15;951=1;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Siêu nhân dường như đã có được sức mạnh mạnh mẽ hơn.,Superman seems to have gained great power.  ,Superman seems to have gained great power.  ,ซูเปอร์แมนดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Superman tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Superman.  ,Superman nampaknya telah mendapat kuasa hebat.  
8,Beautiful Team  ,Đẹp đội,Beautiful Team  ,ทีมสวย  ,Tim Cantik  ,Magandang Koponan  ,Pasukan Cantik  ,1007,{502=1;932=35;5000=35},{932=15;951=1;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Captain America dường như đã có được sức mạnh mạnh mẽ hơn.,Captain America seems to have gained great power.  ,Captain America seems to have gained great power.  ,Captain America ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Captain America tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Captain America.  ,Captain America nampaknya telah mendapat kuasa hebat.  
9,Lomon Coal Wolf  ,Lò môn than trị lang,Lomon Coal Wolf  ,โลมอนถ่านหมาป่า  ,Lomon Serigala Batu Bara  ,Lomon Uling Lobo  ,Lomon Serigala Arang  ,1008,{932=40;rmb=100;5000=40},{932=15;951=1;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Tanjiro Kamado dường như đã có được sức mạnh mạnh mẽ hơn.,Tanjiro Kamado seems to have gained great power.  ,Tanjiro Kamado seems to have gained great power.  ,Tanjiro Kamado ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Tanjiro Kamado tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Tanjiro Kamado.  ,Tanjiro Kamado nampaknya telah mendapat kuasa hebat.  
10,Yi Hui  ,Một huy,Yi Hui  ,อี้ฮุ่ย  ,Yi Hui  ,Yi Hui  ,Yi Hui  ,1009,{932=40;501=1;5000=40},{932=15;951=1;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Ichigo Kurosaki dường như đã có được sức mạnh mạnh mẽ hơn.,Ichigo Kurosaki seems to have gained great power.  ,Ichigo Kurosaki seems to have gained great power.  ,Ichigo Kurosaki ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Ichigo Kurosaki tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Ichigo Kurosaki.  ,Ichigo Kurosaki nampaknya telah mendapat kuasa hebat.  
