VariableName,icon,name_cn,name_tw,name,name_vn,name_en,name_ma,name_ph,name_th,name_in,type,param,validRechargeHuodong,rmbDisplay_cn,rmbDisplay_tw,rmbDisplay,rmbDisplay_vn,rmbDisplay_th,vndPrice,rmbDisplay_kr,rmb,rmb_vn,rmb_en,rmb_tw,rmb_kr,real_rmb,firstPresent,firstDesc_cn,firstDesc_tw,firstDesc,firstDesc_vn,firstDesc_in,firstDesc_th,present,desc_cn,desc,desc_vn,desc_th,desc_in,recommend,sortValue,languages
Defaults,"""""",,,,,,,,,,1,{},TRUE,"""""","""""","""""","""""","""""",0,"""""",0,0,0,0,0,0,0,,,,,,,0,,,,,,0,0,<cn;en;in;th;ma;vn;ph>
充值项ID,充值项图标,充值项名称,充值項名稱,充值项名称,充值项名称,充值项名称,充值项名称,充值项名称,充值项名称,充值项名称,类型（1一次性，2持续性，3礼包）,特殊参数,是否激活充值类活动,消耗RMB,消耗RMB,消耗美元,消耗美元,消耗美元,baohong,消耗韩元,基础钻石,基础钻石,基础钻石,基础钻石,基础钻石,基础钻石,首次购买赠送,首次购买描述,首次購買描述,首次购买描述,首次购买描述,首次购买描述,首次购买描述,普通购买赠送,普通购买描述,普通购买描述,普通购买描述,普通购买描述,普通购买描述,是否推荐,排序优先级（越大越前，未首冲+100）,语言区域
1,,,,Monthly Card Pack,Gói Thẻ Tháng,Monthly Card Pack,Pakej Kad Bulanan,Monthly Card Pack,แพ็กบัตรรายเดือน,Paket Kartu Bulanan,2,{days=30},,"""20.000""","""20.000""","""20.000""","""20.000""","""20.000""",20000,"""20.000""",20000,20000,20000,20000,20000,20000,,,,Receive 3000 diamonds every day for 30 consecutive days,Nhận 3000 kim cương mỗi ngày trong 30 ngày liên tiếp,Receive 3000 diamonds every day for 30 consecutive days,"รับเพชร 3,000 เม็ดทุกวัน เป็นเวลา 30 วันติดต่อกัน",,,Receive 3000 diamonds every day for 30 consecutive days,Nhận 3000 kim cương mỗi ngày trong 30 ngày liên tiếp,"รับเพชร 3,000 เม็ดทุกวัน เป็นเวลา 30 วันติดต่อกัน",,1,,<cn;en;in;th;ma;vn;ph>
2,,,,Master Monthly Card Pack,Gói Thẻ Tháng Cao Cấp,Master Monthly Card Pack,Pakej Kad Bulanan Master,Master Monthly Card Pack,แพ็กบัตรรายเดือนระดับมาสเตอร์,Paket Kartu Bulanan Master,2,{days=30},,"""50.000""","""50.000""","""50.000""","""50.000""","""50.000""",50000,"""50.000""",50000,50000,50000,50000,50000,50000,,,,Receive 6000 diamonds every day for 30 consecutive days,Nhận 6000 kim cương mỗi ngày trong 30 ngày liên tiếp,Receive 6000 diamonds every day for 30 consecutive days,"รับเพชร 6,000 เม็ดทุกวัน เป็นเวลา 30 วันติดต่อกัน",,,Receive 6000 diamonds every day for 30 consecutive days,Nhận 6000 kim cương mỗi ngày trong 30 ngày liên tiếp,"รับเพชร 6,000 เม็ดทุกวัน เป็นเวลา 30 วันติดต่อกัน",,1,,<cn;en;in;th;ma;vn;ph>
10,,,,Permanent Privilege Card,Thẻ đặc quyền vĩnh viễn,Permanent Privilege Card,Kad Keistimewaan Kekal,Permanenteng Pribilehiyong Card,บัตรสิทธิพิเศษถาวร,Kartu Hak Istimewa Permanen,2,{days=3000},,"""100.000""","""100.000""","""100.000""","""100.000""","""100.000""",100000,"""100.000""",100000,100000,100000,100000,100000,100000,,,,Receive 150000 diamonds every day,Nhận 150000 kim cương mỗi ngày,Receive 150000 diamonds every day,"รับเพชร 150,000 เม็ดทุกวัน",,,Receive 150000 diamonds every day,Nhận 150000 kim cương mỗi ngày,"รับเพชร 150,000 เม็ดทุกวัน",,1,,<cn;en;in;th;ma;vn;ph>
102,,,,Buy Now Pack 0.99$,Gói Quà Mua Ngay 10K,Buy Now Pack 0.99$,Pakej Beli Segera 0.99$,Agarang Bili Package 0.99$,แพ็คเกจซื้อทันที 30฿,Paket Beli Sekarang 0.99$,3,,,"""10.000""","""10.000""","""10.000""","""10.000""","""10.000""",10000,"""10.000""",10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
103,,,,Buy Now Pack 1.99$,Gói Quà Mua Ngay 20K,Buy Now Pack 1.99$,Pakej Beli Segera 1.99$,Agarang Bili Package 1.99$,แพ็คเกจซื้อทันที 60฿,Paket Beli Sekarang 1.99$,3,,,"""20.000""","""20.000""","""20.000""","""20.000""","""20.000""",20000,"""20.000""",20000,20000,20000,20000,20000,20000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
104,,,,Direct Purchase Pack 2.99$,Gói quà mua trực tiếp 30K,Direct Purchase Pack 2.99$,Pakej Pembelian Terus 2.99$,Direktang Bili Package 2.99$,แพ็คเกจซื้อโดยตรง 90฿,Paket Pembelian Langsung 2.99$,3,,,"""30.000""","""30.000""","""30.000""","""30.000""","""30.000""",30000,"""30.000""",30000,30000,30000,30000,30000,30000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
105,,,,Buy Now Pack 3.99$,Gói Quà Mua Ngay 40K,Buy Now Pack 3.99$,Pakej Beli Segera 3.99$,Agarang Bili Package 3.99$,แพ็คเกจซื้อทันที 120฿,Paket Beli Sekarang 3.99$,3,,,"""40.000""","""40.000""","""40.000""","""40.000""","""40.000""",40000,"""40.000""",40000,40000,40000,40000,40000,40000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
106,,,,Direct Purchase Pack 4.99$,Gói quà mua trực tiếp 50K,Direct Purchase Pack 4.99$,Pakej Pembelian Terus 4.99$,Direktang Bili Package 4.99$,แพ็คเกจซื้อโดยตรง 150฿,Paket Pembelian Langsung 4.99$,3,,,"""50.000""","""50.000""","""50.000""","""50.000""","""50.000""",50000,"""50.000""",50000,50000,50000,50000,50000,50000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
