VariableName,name_cn,name_vn,name,name_ma,name_en,name_th,name_in,name_ph,icon,desc_cn,desc_vn,desc,desc_ma,desc_en,desc_th,desc_in,desc_ph,openLv,noticeLv,type,goToPanel
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,""""""
ID,功能/特权名称,功能/特权名称_越南,功能/特权名称_越南,功能/特权名称_越南,功能/特权名称_越南,功能/特权名称_越南,功能/特权名称_越南,功能/特权名称_越南,功能展示logo,相关简单说明,相关简单说明_越南,相关简单说明_越南,相关简单说明_越南,相关简单说明_越南,相关简单说明_越南,相关简单说明_越南,相关简单说明_越南,开启等级,开始提醒等级,提示的优先级 1.基础功能、布阵、公会、聊天等 2.活动功能、竞技场、王者等活动 3.附属功能、如同XX特权、XX星座什么的,特殊跳转
1,,Gacha,Gacha  ,Gacha  ,Gacha  ,กาชา  ,Gacha  ,Gacha  ,city/levelup/grow_guide_1.png,,"Chiêu mộ anh hùng mạnh mẽ, tăng cường sức mạnh.","Recruit powerful heroes, enhance strength.","Rekrut wira kuat, tingkatkan kekuatan.","Recruit powerful heroes, enhance strength.",รับสมัครฮีโร่ทรงพลัง เพิ่มพลังต่อสู้,"Rekrut pahlawan kuat, tingkatkan kekuatan.","Mag-recruit ng malalakas na bayani, palakasin ang lakas.",2,,,
2,,Bố trận,Formation  ,Formasi  ,Formation  ,การจัดทีม  ,Formasi  ,Pagbubuo ng Puwesto  ,city/levelup/grow_guide_13.png,,"Đội hình xuất phát, điều chỉnh vị trí.","Set up your starting lineup, adjust positions.","Susun formasi, laraskan posisi.","Set up your starting lineup, adjust positions.",ตั้งทีมเริ่มต้น ปรับตำแหน่ง,"Formasi awal, atur posisi.","Simulan ang formation, ayusin ang posisyon.",2,,,
3,,Thiên đường tung tăng,Heavenly Stroll  ,Syurga Bersiar-siar  ,Heavenly Stroll  ,สวรรค์แห่งการเดินเล่น  ,Jalan Surga  ,Paraisong Naglalakad  ,city/levelup/grow_guide_29.png,,"Huấn luyện mỹ nữ dị giới, nhận được chúc phúc của mỹ nữ.","Train beautiful otherworldly maidens, receive their blessings.","Latih wanita cantik dari dunia lain, terima berkat daripada mereka.","Train beautiful otherworldly maidens, receive their blessings.",ฝึกฝนหญิงงามต่างโลก รับพรจากหญิงงาม,"Latih wanita cantik dari dunia lain, dapatkan berkah dari mereka.","Sanayin ang magagandang babae mula sa ibang mundo, tumanggap ng pagpapala mula sa kanila.",3,2,,
4,,Tiến cấp anh hùng,Hero Upgrade  ,Naik Taraf Wira  ,Hero Upgrade  ,การอัปเกรดฮีโร่  ,Naik Kelas Pahlawan  ,Pag-angat ng Bayani  ,city/levelup/grow_guide_3.png,,"Nâng cấp anh hùng, tăng cường năng lượng và sức chiến đấu","Upgrade heroes, increase energy and combat power.","Naik taraf wira, tingkatkan tenaga dan kekuatan bertempur.","Upgrade heroes, increase energy and combat power.",อัปเกรดฮีโร่ เพิ่มพลังและความแข็งแกร่ง,"Upgrade pahlawan, tingkatkan energi dan kekuatan bertarung.","I-upgrade ang bayani, dagdagan ang enerhiya at lakas sa labanan.",3,2,,
5,,Nâng cấp kỹ năng,Skill Upgrade  ,Naik Taraf Kemahiran  ,Skill Upgrade  ,การอัปเกรดทักษะ  ,Upgrade Skill  ,Pag-upgrade ng Kasanayan  ,city/levelup/grow_guide_1.png,,"Nâng cấp kỹ năng, tăng uy lực kỹ năng","Upgrade skills, boost skill effectiveness.","Naik taraf kemahiran, tingkatkan kuasa kemahiran.","Upgrade skills, boost skill effectiveness.",อัปเกรดสกิล เพิ่มพลังโจมตี,"Upgrade keterampilan, tingkatkan kekuatan skill.","I-upgrade ang mga kasanayan, palakasin ang bisa ng skill.",3,2,,
6,,Nâng cấp anh hùng,Hero Upgrade  ,Naik Taraf Wira  ,Hero Upgrade  ,การอัปเกรดฮีโร่  ,Upgrade Pahlawan  ,Pag-upgrade ng Bayani  ,city/levelup/grow_guide_1.png,,Nhanh chóng tăng cấp tướng,Quickly level up your heroes.,Tingkatkan tahap wira dengan cepat.,Quickly level up your heroes.,เลื่อนขั้นฮีโร่ได้อย่างรวดเร็ว,Naikkan level pahlawan dengan cepat.,Mabilisang pag-level up ng bayani.,4,3,,
7,,Cửa hàng,Shop  ,Kedai  ,Shop  ,ร้านค้า  ,Toko  ,Tindahan  ,city/levelup/grow_guide_25.png,,"Cửa hàng đã mở, bạn có thể mua các loại đạo cụ khác nhau.","The shop is open, you can buy various items.","Kedai dibuka, anda boleh membeli pelbagai barang.","The shop is open, you can buy various items.",ร้านค้าเปิดแล้ว คุณสามารถซื้อไอเทมต่างๆ,"Toko dibuka, kamu bisa membeli berbagai item.","Bukas na ang tindahan, maaari kang bumili ng iba't ibang item.",9,3,,
8,,Sách ảnh,Photo Album  ,Album Gambar  ,Photo Album  ,สมุดภาพ  ,Album Foto  ,Album ng Larawan  ,city/levelup/grow_guide_19.png,,"Thu thập anh hùng, mở khóa bách khoa toàn thư, và trở thành chỉ huy mạnh mẽ hơn.","Collect heroes, unlock the encyclopedia, and become a stronger commander.","Kumpul wira, buka ensiklopedia, jadi ketua yang lebih kuat.","Collect heroes, unlock the encyclopedia, and become a stronger commander.",สะสมฮีโร่ ปลดล็อกสารานุกรม เป็นผู้บัญชาการที่แข็งแกร่งขึ้น,"Kumpulkan pahlawan, buka ensiklopedia, dan jadi komandan yang lebih kuat.","Kolektahin ang mga bayani, i-unlock ang encyclopedia, at maging mas malakas na komander.",10,3,,
