VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,type,arg,nums,levelMax,upCost,desc1_cn,desc1_tw,desc1,desc1_vn,desc1_en,desc1_th,desc1_in,desc1_ph,desc1_ma,desc2_cn,desc2_tw,desc2,desc2_vn,desc2_en,desc2_th,desc2_in,desc2_ph,desc2_ma
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,0,<>,10,{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,技能名字,技能名字,技能名字_越南,name_vn,name_en,name_th,name_in,name_ph,name_ma,技能图标,技能类型,参数(增对4类型配置对应的yyID),技能数值,最大等级,升级消耗,技能描述,技能描述,技能描述_越南,desc1_vn,desc1_en,desc1_th,desc1_in,desc1_ph,desc1_ma,技能描述2,技能描述2,技能描述2_越南,desc2_vn,desc2_en,desc2_th,desc2_in,desc2_ph,desc2_ma
1,,,New Investor,Nhà đầu tư mới,New Investor,นักลงทุนใหม่,Investor Baru,Bagong Mamumuhunan,Pelabur Baru,city/develop/train/icon_jubaopen.png,12,,<1>,1,{453=50},,,Treasure Hunt  ,Tích tài,Treasure Hunt  ,ล่าสมบัติ  ,Berburu Harta  ,Paghahanap ng Kayamanan  ,Pemburuan Harta  ,,,Daily free attempts +%d  ,Số lần miễn phí hàng ngày +%d,Daily free attempts +%d  ,จำนวนครั้งฟรีรายวัน +%d  ,Jumlah kesempatan gratis harian +%d  ,Libreng pagsubok kada araw +%d  ,Bilangan percubaan percuma harian +%d  
2,,,Adventure Will,Ý chí phiêu lưu,Adventure Will,ความตั้งใจผจญภัย,Keinginan Petualangan,Pagbubukas ng Pakikipagsapalaran,Keazaman Pengembaraan,city/develop/train/icon_fubendaren.png,18,,<0.05;0.1;0.15;0.2;0.25>,5,{453=20},,,Story Dungeon  ,Cốt truyện phụ bản,Story Dungeon  ,ดันเจี้ยนเนื้อเรื่อง  ,Dungeon Cerita  ,Dungeon ng Kuwento  ,Penjara Cerita  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
3,,,Full Lobster,Tôm hùm ăn no,Full Lobster,กุ้งล็อบสเตอร์อิ่ม,Angka Lobster Kenyang,Pusit na Busog,Lobster Kenyang,city/develop/train/icon_daweiwang.png,14,3,<2;4;6;8;10>,5,{453=30},,,Soufflé (Dinner)  ,Bánh souffle (bữa tối),Soufflé (Dinner)  ,ซูเฟล่ (มื้อเย็น)  ,Soufflé (Makan Malam)  ,Soufflé (Hapunan)  ,Soufflé (Makan Malam)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
4,,,Financial Advisor,Cố vấn tài chính,Financial Advisor,ที่ปรึกษาทางการเงิน,Penasihat Keuangan,Tagapayo sa Pananalapi,Penasihat Kewangan,city/develop/train/icon_jubaopen.png,13,,<0.03;0.06;0.09;0.12;0.15>,5,{453=30},,,Treasure Hunt  ,Tích tài,Treasure Hunt  ,ล่าสมบัติ  ,Berburu Harta  ,Paghahanap ng Kayamanan  ,Pemburuan Harta  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
5,,,Delicate Dish,Món ăn tinh tế,Delicate Dish,อาหารที่ประณีต,Hidangan Halus,Delikadong Ulam,Hidangan Halus,city/develop/train/icon_daweiwang.png,14,2,<2;4;6;8;10>,5,{453=35},,,Soufflé (Lunch)  ,Bánh souffle (bữa trưa),Soufflé (Lunch)  ,ซูเฟล่ (มื้อกลางวัน)  ,Soufflé (Makan Siang)  ,Soufflé (Tanghalian)  ,Soufflé (Makan Tengah Hari)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
6,,,Elite Member,Thành viên ưu tú,Elite Member,สมาชิกระดับยอดเยี่ยม,Anggota Elite,Elite na Miyembro,Ahli Elit,city/develop/train/icon_fubendaren.png,19,,<0.05;0.1;0.15;0.2;0.25>,5,{453=35},,,Difficulty Level  ,Cấp độ khó,Difficulty Level  ,ระดับความยาก  ,Tingkat Kesulitan  ,Antas ng Kahirapan  ,Tahap Kesukaran  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
7,,,Magic Hands,Bàn tay ma thuật,Magic Hands,มือวิเศษ,Tangan Ajaib,Mga Magic na Kamay,Tangan Ajaib,city/develop/train/icon_yijialuanzhen.png,11,,<1>,1,{453=60},,,Gold Card Draw  ,Rút thẻ vàng,Gold Card Draw  ,สุ่มการ์ดทอง  ,Undian Kartu Emas  ,Pagkuha ng Gintong Karta  ,Cabutan Kad Emas  ,,,Daily free attempts +%d  ,Số lần miễn phí hàng ngày +%d,Daily free attempts +%d  ,จำนวนครั้งฟรีรายวัน +%d  ,Jumlah kesempatan gratis harian +%d  ,Libreng pagsubok kada araw +%d  ,Bilangan percubaan percuma harian +%d  
8,,,Health Recovery,Hồi phục máu,Health Recovery,การฟื้นฟูสุขภาพ,Pemulihan Kesehatan,Pagpapagaling ng Kalusugan,Pemulihan Kesihatan,city/develop/train/icon_tishudaren.png,2,,<3;6;9;12;15>,5,{453=40},,,Stamina Limit  ,Giới hạn thể lực,Stamina Limit  ,ขีดจำกัดพลังงาน  ,Batas Stamina  ,Limitasyon ng Stamina  ,Had Tenaga  ,,,Bonus increase +%d  ,Tăng thêm +%d,Bonus increase +%d  ,เพิ่มโบนัส +%d  ,Peningkatan bonus +%d  ,Karagdagang bonus +%d  ,Peningkatan bonus +%d  
